,t_x,t_y,t_z,r_x,r_y,r_z,t_x_2,t_y_2,t_z_2,t_x_3,t_y_3,t_z_3,t_x_s1,t_y_s1,t_z_s1,t_x_s2,t_y_s2,t_z_s2
0,-1.4210855e-14,-1.4210855e-14,-7.105427399999999e-15,-6.1629758e-33,-1.2325952e-32,-2.4651902999999996e-32,2.0194839983102503e-28,2.0194839983102503e-28,5.048709853667074e-29,-2.8698594274807217e-42,-2.8698594274807217e-42,-3.587324132889601e-43,0.79741342,-0.16838325,-0.5028107,0.019608527,-0.070044393,0.08725206
1,0.019608527,-0.070044393,0.08725206,-0.0012843536,-0.0001316888,0.00029383106,0.000384494331109729,0.0049062169907384484,0.0076129219742436015,7.539367472912062e-06,-0.00034365299104256123,0.0006642431248720213,-1.4210855e-14,-1.4210855e-14,-7.105427399999999e-15,0.06834693900000001,-0.04558476400000001,0.07802438
2,0.06834693900000001,-0.04558476400000001,0.07802438,-0.00078258458,4.0704512e-05,0.00058880289,0.004671304070669722,0.0020779707089356968,0.006087803874384401,0.00031926933436851525,-9.472380436574645e-05,0.0004749971228604408,0.019608527,-0.070044393,0.08725206,0.0431748,-0.046163557,-0.020511143
3,0.0431748,-0.046163557,-0.020511143,0.0009285241699999999,-0.0007636147599999999,5.3468042e-05,0.00186406335504,0.002131073994892249,0.000420706987166449,8.0480562541181e-05,-9.837795583442605e-05,-8.6291811748702e-06,0.06834693900000001,-0.04558476400000001,0.07802438,0.097757149,-0.16054983,0.073239817
4,0.097757149,-0.16054983,0.073239817,0.0010168352,-0.00040229527,0.0008865848599999999,0.009556460180608201,0.0257762479130289,0.005364070794193489,0.0009342123017882829,-0.004138372220474645,0.0003928635633417758,0.0431748,-0.046163557,-0.020511143,0.13568868,-0.16382518,0.21149702
5,0.13568868,-0.16382518,0.21149702,-0.00041635961000000005,0.0010701009,0.0011426442999999998,0.018411417880142403,0.026838689602032395,0.044730989468880406,0.002498220989084921,-0.004396853155017085,0.009460470974319589,0.097757149,-0.16054983,0.073239817,0.20334206,-0.21611295,0.29375558
6,0.20334206,-0.21611295,0.29375558,-0.0032864656,0.00028776165,0.0020171658,0.0413479933650436,0.0467048071577025,0.08629234078113641,0.008407786147714298,-0.010093513654032202,0.02534885661572038,0.13568868,-0.16382518,0.21149702,0.22095343,-0.28921627,0.33287019
7,0.22095343,-0.28921627,0.33287019,-0.004239668,-0.00016152453000000002,0.0020706939,0.0488204182287649,0.0836460508327129,0.11080256339063611,0.010787038861680129,-0.02419179882206762,0.036882870328328085,0.20334206,-0.21611295,0.29375558,0.22088812,-0.27793605,0.29945803
8,0.22088812,-0.27793605,0.29945803,-0.0032376353999999997,-0.0010162389,0.0023090283,0.0487915615571344,0.0772484478896025,0.08967511173148089,0.010777476304219689,-0.021470128475066956,0.026853932299139155,0.22095343,-0.28921627,0.33287019,0.26610512,-0.2845431,0.32727954
9,0.26610512,-0.2845431,0.32727954,-0.0044599507,-0.0007522131900000001,0.0027508314,0.07081193489021438,0.08096477575760999,0.10711189730261159,0.018843418431392683,-0.023037968284875195,0.035055532477725956,0.22088812,-0.27793605,0.29945803,0.30715931,-0.29781585,0.38183939
10,0.30715931,-0.29781585,0.38183939,-0.0051494913,-0.00060413267,0.0034919277000000004,0.09434684171967611,0.0886942805112225,0.1458013197555721,0.02897951080329493,-0.02641456254058816,0.0556726869966626,0.26610512,-0.2845431,0.32727954,0.28290152,-0.21250321,0.13950954
11,0.28290152,-0.21250321,0.13950954,0.00021990838,-0.0002915398,0.0024718882000000003,0.08003327001831041,0.045157614260304096,0.019462911751011596,0.022641533738750445,-0.009596137986256395,0.002715261865444222,0.30715931,-0.29781585,0.38183939,0.30489006,-0.20720009,0.27208464
12,0.30489006,-0.20720009,0.27208464,0.00010972221999999999,-0.0012092321,0.0033392198,0.09295794868680361,0.0429318772960081,0.07403005132392959,0.028341954552596478,-0.008895488839601836,0.020142439863652904,0.28290152,-0.21250321,0.13950954,0.29345145,-0.48189815,0.032322808
13,0.29345145,-0.48189815,0.032322808,0.00032094747000000005,-0.0021039137,0.0027381507,0.0861137535071025,0.23222582697342253,0.0010447639170048642,0.025270205831601816,-0.11190919640071242,3.376970349467616e-05,0.30489006,-0.20720009,0.27208464,0.35162968,-0.39432195,-0.00021488397
14,0.35162968,-0.39432195,-0.00021488397,-0.0017592795,-0.0016577535999999999,0.0030573215999999998,0.1236434318569024,0.15548980025180248,4.61751205629609e-08,0.0434767003779444,-0.06131304124040124,-9.922293221797673e-12,0.29345145,-0.48189815,0.032322808,0.36976983,-0.2239088,0.12258273
15,0.36976983,-0.2239088,0.12258273,-0.0040482742,-0.0014485667000000001,0.0026025076,0.13672972717822893,0.05013515071743999,0.0150265256942529,0.05055852797464009,-0.011225701434961127,0.001841992542016666,0.35162968,-0.39432195,-0.00021488397,0.34897958,-0.29568611,0.14802577
16,0.34897958,-0.29568611,0.14802577,-0.004738056500000001,-0.00028171923,0.0013544789000000002,0.12178674725697641,0.0874302756469321,0.0219116285840929,0.04250108790730578,-0.025851918102269087,0.0032434856931143614,0.36976983,-0.2239088,0.12258273,0.34050427,-0.29681934,0.10229537
17,0.34050427,-0.29681934,0.10229537,-0.0033626909999999997,-0.0011107647,0.0015355045000000002,0.1159431578882329,0.08810172059803559,0.010464342723436899,0.039479140338227484,-0.026150294560773328,0.0010704538107007852,0.34897958,-0.29568611,0.14802577,0.35616815,-0.32188446,0.069578769
18,0.35616815,-0.32188446,0.069578769,-0.004746415,-0.0011400391,0.0018884275,0.1268557510744225,0.10360960558949159,0.004841205095555361,0.045181978177037584,-0.03335032194598648,0.00033684509102526936,0.34050427,-0.29681934,0.10229537,0.31964112,-0.3374246,0.19545984
19,0.31964112,-0.3374246,0.19545984,-0.0081336629,-0.00041311773,-6.901890599999999e-06,0.1021704455948544,0.11385536068516001,0.038204549052825595,0.032657875660838324,-0.03841759953704585,0.007467455045137442,0.35616815,-0.32188446,0.069578769,0.30614024,-0.45006924,0.22517033
20,0.30614024,-0.45006924,0.22517033,-0.0079731821,-0.0010061741000000001,0.00027327422000000004,0.09372184654725761,0.20256232079417757,0.050701677512308904,0.028692028595220617,-0.09116706977247169,0.011416513457000175,0.31964112,-0.3374246,0.19545984,0.26721111,-0.31432381,0.14168499
21,0.26721111,-0.31432381,0.14168499,-0.0055350839,-0.0017328157999999998,0.00011982566999999999,0.07140177730743208,0.0987994575329161,0.020074636391300103,0.019079348170291735,-0.031055021917679386,0.0028442746563549916,0.30614024,-0.45006924,0.22517033,0.32183851,-0.37318858,0.15073518
22,0.32183851,-0.37318858,0.15073518,-0.0063485174,-0.0015555982000000001,0.0006215891400000001,0.10358002651902011,0.13926971624241638,0.022721094489632398,0.03333604140064192,-0.0519738676415103,0.0034248682676917474,0.26721111,-0.31432381,0.14168499,0.32302175,-0.36083047,0.18804335
23,0.32302175,-0.36083047,0.18804335,-0.0090172618,-0.0012151572,0.00047990846,0.1043430509730625,0.1301986280804209,0.0353603014792225,0.03370507492565785,-0.04697963216361348,0.006649269547162954,0.32183851,-0.37318858,0.15073518,0.26832854,-0.29606739,0.012324776
