,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4478,5,3542,27,1,,0,47,115650,,0,0,1,5,-999999,33,120412,5,209,120621,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10
1,4215,5,3815,20,1,,0,38,125705,,0,0,1,5,-999999,11,130182,5,178,130360,smallwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,270,2,1,2,2
2,4414,5,3626,31,1,,0,13,135677,,0,0,1,5,-999999,12,140354,5,201,140555,bigwinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,260,3,1,3,10
3,4078,4,3972,32,1,,0,36,145716,,0,0,1,4,-999999,15,150060,4,236,150296,nowinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,4,1,4,0
4,4186,4,3864,38,1,,0,18,155788,,0,0,1,4,-999999,7,160232,4,188,160420,bigwinright.bmp,right,TrialProc,TrialList,32,targetright.bmp,right,250,5,1,5,10
5,4165,5,3885,28,1,,0,29,165827,,0,0,1,5,-999999,11,170254,5,198,170452,nowinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,250,6,1,6,0
6,4381,4,3669,34,1,,0,39,175866,,0,0,1,4,-999999,12,180510,4,171,180681,smallwinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,7,1,7,2
7,4025,4,4025,15,1,,0,16,185871,,0,0,1,4,-999999,17,190164,4,193,190357,nowinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,8,1,8,0
8,4269,5,3781,50,1,,0,18,195877,,0,0,1,5,-999999,6,200403,5,201,200604,bigwinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,9,1,9,10
9,4454,5,3596,24,1,,0,17,205932,,0,0,1,5,-999999,6,210643,5,230,210873,nowinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,10,1,10,0
10,4000,4,4050,30,1,,0,9,215971,,0,0,1,4,-999999,8,220230,4,174,220404,smallwinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,250,11,1,11,2
11,4147,4,3903,34,1,,0,4,225960,,0,0,1,4,-999999,11,230369,4,189,230558,nowinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,250,12,1,12,0
12,4266,5,3784,33,1,,0,16,235982,,0,0,1,5,-999999,9,240508,5,203,240711,bigwinleft.bmp,left,TrialProc,TrialList,56,targetleft.bmp,left,250,13,1,13,10
13,4243,4,3807,36,1,,0,17,246021,,0,0,1,4,-999999,16,250531,4,209,250740,smallwinright.bmp,right,TrialProc,TrialList,58,targetright.bmp,right,250,14,1,14,2
14,4237,5,3813,31,1,,0,14,256059,,0,0,1,5,-999999,6,260553,5,213,260766,nowinleft.bmp,left,TrialProc,TrialList,58,targetleft.bmp,left,250,15,1,15,0
15,4086,5,3964,29,1,,0,19,266098,,0,0,1,5,-999999,6,270441,5,213,270654,smallwinleft.bmp,left,TrialProc,TrialList,60,targetleft.bmp,left,250,16,1,16,2
16,4337,4,3713,30,1,,0,4,276120,,0,0,1,4,-999999,6,280714,4,45,280759,nowinright.bmp,right,TrialProc,TrialList,60,targetright.bmp,right,250,17,1,17,0
17,4453,5,3597,32,1,,0,3,285975,,0,0,1,5,-999999,7,290686,5,231,290917,smallwinleft.bmp,left,TrialProc,TrialList,62,targetleft.bmp,left,250,18,1,18,2
18,4383,4,3667,18,1,,0,18,296031,,0,0,1,4,-999999,9,300674,4,180,300854,bigwinright.bmp,right,TrialProc,TrialList,72,targetright.bmp,right,250,19,1,19,10
19,4466,5,3584,25,1,,0,16,306020,,0,0,1,5,-999999,10,310747,5,201,310948,smallwinleft.bmp,left,TrialProc,TrialList,74,targetleft.bmp,left,250,20,1,20,2
20,4098,4,3952,31,1,,0,9,316042,,0,0,1,4,-999999,10,320401,4,180,320581,nowinright.bmp,right,TrialProc,TrialList,74,targetright.bmp,right,250,21,1,21,0
21,4319,5,3731,20,1,,0,19,326047,,0,0,1,5,-999999,7,330624,5,165,330789,smallwinleft.bmp,left,TrialProc,TrialList,76,targetleft.bmp,left,250,22,1,22,2
22,4385,4,3665,33,1,,0,13,336019,,0,0,1,4,-999999,8,340663,4,171,340834,bigwinright.bmp,right,TrialProc,TrialList,86,targetright.bmp,right,250,23,1,23,10
23,4397,4,3653,34,1,,0,17,346024,,0,0,1,4,-999999,13,350685,4,169,350854,smallwinright.bmp,right,TrialProc,TrialList,88,targetright.bmp,right,250,24,1,24,2
24,4434,5,3616,18,1,,0,16,356030,,0,0,1,5,-999999,8,360723,5,11,360734,bigwinleft.bmp,left,TrialProc,TrialList,98,targetleft.bmp,left,250,25,1,25,10
25,4238,4,3812,50,1,,0,15,365851,,0,0,1,4,-999999,5,370345,4,193,370538,nowinright.bmp,right,TrialProc,TrialList,98,targetright.bmp,right,250,26,1,26,0
26,4052,5,3998,20,1,,0,17,375890,,0,0,1,5,-999999,7,380200,5,191,380391,bigwinleft.bmp,left,TrialProc,TrialList,108,targetleft.bmp,left,250,27,1,27,10
27,4238,5,3812,15,1,,0,14,385896,,0,0,1,5,-999999,4,390389,5,199,390588,smallwinleft.bmp,left,TrialProc,TrialList,110,targetleft.bmp,left,250,28,1,28,2
28,4464,4,3586,26,1,,0,18,395901,,0,0,1,4,-999999,12,400628,4,186,400814,nowinright.bmp,right,TrialProc,TrialList,110,targetright.bmp,right,250,29,1,29,0
29,4402,5,3648,37,1,,0,7,405906,,0,0,0,5,0,8,410567,,0,0,nowinleft.bmp,left,TrialProc,TrialList,110,targetleft.bmp,left,250,30,1,30,0
30,4459,4,3591,49,1,,0,14,415979,,0,0,1,4,-999999,17,420706,4,176,420882,bigwinright.bmp,right,TrialProc,TrialList,120,targetright.bmp,right,250,31,1,31,10
31,4040,5,4010,38,1,,0,17,426001,,0,0,1,5,-999999,2,430294,5,193,430487,smallwinleft.bmp,left,TrialProc,TrialList,122,targetleft.bmp,left,250,32,1,32,2
32,4475,4,3575,27,1,,0,12,436023,,0,0,1,4,-999999,2,440751,4,51,440802,bigwinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,33,1,33,10
33,4433,4,3617,50,1,,0,6,445894,,0,0,1,4,-999999,10,450588,4,190,450778,nowinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,34,1,34,0
34,4477,4,3573,32,1,,0,17,455933,,0,0,0,4,0,16,460677,,0,0,smallwinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,35,1,35,2
35,4157,5,3893,31,1,,0,18,466005,,0,0,0,5,0,2,470415,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,132,targetleft.bmp,left,250,36,1,36,10
36,4311,4,3739,23,1,,0,19,476078,,0,0,1,4,-999999,14,480654,4,194,480848,nowinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,37,1,37,0
