,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,135472,140100,0,280,3695,4325,18,0,5,,10,0,5,35,0,left,46
1,2,145628,149970,150180,290,3955,4055,44,1,5,5,2,2,5,20,210,left,33
2,3,155666,160025,160212,300,3924,4076,18,1,5,5,10,12,5,16,187,left,23
3,4,165704,170164,170351,290,3855,4155,47,1,4,4,0,12,4,38,187,right,65
4,5,175776,180252,180447,280,3830,4190,45,1,4,4,10,22,4,19,195,right,54
5,6,185831,190457,190692,270,3683,4347,42,1,5,5,0,22,5,12,235,left,39
6,7,195936,200646,200835,260,3615,4425,29,1,4,4,2,24,4,18,189,right,42
7,8,205974,210400,210557,250,3909,4141,25,1,4,4,0,24,4,18,157,right,21
8,9,215979,220572,220756,250,3735,4315,44,1,5,5,10,34,5,11,184,left,9
9,10,226034,230443,230597,250,3928,4122,31,1,5,5,0,34,5,20,154,left,23
10,11,236055,240732,240942,250,3648,4402,34,1,4,4,2,36,4,7,210,right,19
11,12,246110,250737,250921,250,3695,4355,39,1,4,4,0,36,4,5,184,right,16
12,13,256148,260859,261033,250,3623,4427,47,1,5,5,10,46,5,16,174,left,11
13,14,266203,270496,270679,250,4040,4010,33,1,4,4,2,48,4,15,183,right,19
14,15,276258,280685,280922,250,3904,4146,36,1,5,5,0,48,5,13,237,left,17
15,16,286347,291023,291247,250,3652,4398,10,1,5,5,2,50,5,11,224,left,14
16,17,296402,301012,301236,250,3718,4332,41,1,4,4,0,50,4,11,224,right,24
17,18,306473,310833,311071,250,3976,4074,48,1,5,5,2,52,5,18,238,left,9
18,19,316595,321372,321607,250,3560,4490,26,1,4,4,10,62,4,20,235,right,19
19,20,326700,331394,331562,250,3630,4420,24,1,5,5,2,64,5,7,168,left,24
20,21,336705,341465,341621,250,3570,4480,15,1,4,4,0,64,4,13,156,right,9
21,22,346693,351002,351228,250,4028,4022,47,1,5,5,2,66,5,20,226,left,18
22,23,356798,361542,361769,250,3585,4465,35,1,4,4,10,76,4,12,227,right,20
23,24,366870,371296,371506,250,3899,4151,37,1,4,4,2,78,4,8,210,right,15
24,25,376925,381267,381489,250,3983,4067,17,1,5,5,10,88,5,8,222,left,13
25,26,386980,391590,391791,250,3727,4323,13,1,4,4,0,88,4,20,201,right,17
26,27,397035,401377,401578,250,3986,4064,15,1,5,5,10,98,5,11,201,left,21
27,28,407073,411365,411585,250,4037,4013,38,1,5,5,2,100,5,12,220,left,18
28,29,417145,421738,421945,250,3738,4312,31,1,4,4,0,100,4,14,207,right,13
29,30,427200,431776,432010,250,3752,4298,16,1,5,5,0,100,5,11,234,left,20
30,31,437271,441831,0,250,3764,4286,12,0,4,,10,100,4,7,0,right,17
31,32,447360,451786,452012,250,3896,4154,47,1,5,5,2,102,5,5,226,left,22
32,33,457448,461807,462003,250,3975,4075,26,1,4,4,10,112,4,17,196,right,20
33,34,467503,471812,472006,250,4015,4035,16,1,4,4,0,112,4,7,194,right,24
34,35,477524,482101,482274,250,3761,4289,19,1,4,4,2,114,4,20,173,right,17
35,36,487546,492106,492333,250,3774,4276,27,1,5,5,10,124,5,17,227,left,14
36,37,497634,502361,502550,250,3610,4440,49,1,4,4,0,124,4,19,189,right,23
37,38,507706,512199,512400,250,3837,4213,43,1,4,4,2,126,4,13,201,right,18
38,39,517778,522187,522329,250,3924,4126,34,1,4,4,10,136,4,16,142,right,24
39,40,527782,532192,532400,250,3920,4130,47,1,5,5,0,136,5,12,208,left,16
40,41,537854,542564,542753,250,3619,4431,47,1,5,5,10,146,5,12,189,left,20
41,42,547909,552435,552637,250,3800,4250,20,1,5,5,2,148,5,9,202,left,20
42,43,557947,562624,562815,250,3652,4398,24,1,5,5,0,148,5,12,191,left,13
43,44,567969,572378,572600,250,3917,4133,19,1,4,4,0,148,4,9,222,right,10
44,45,578024,582366,582570,250,3985,4065,28,1,5,5,2,150,5,10,204,left,15
45,46,588079,592405,592614,250,4001,4049,45,1,4,4,0,150,4,10,209,right,22
46,47,598150,602911,603106,250,3565,4485,21,1,4,4,2,152,4,8,195,right,21
47,48,608172,612949,613173,250,3551,4499,24,1,5,5,0,152,5,11,224,left,13
48,49,618227,622954,623140,250,3601,4449,22,1,4,4,2,154,4,11,186,right,10
49,50,628248,632658,632901,250,3916,4134,36,1,5,5,0,154,5,8,243,left,11
50,51,638337,643013,643217,250,3652,4398,26,1,4,4,10,164,4,11,204,right,14
51,52,648392,652919,653138,250,3795,4255,18,1,5,5,2,166,5,5,219,left,24
52,53,658447,662773,662985,250,3997,4053,29,1,5,5,10,176,5,6,212,left,16
53,54,668502,672811,673003,250,4015,4035,44,1,5,5,0,176,5,7,192,left,22
54,55,678557,683133,683349,250,3756,4294,37,1,4,4,10,186,4,15,216,right,23
55,56,688628,693305,693493,250,3645,4405,49,1,5,5,2,188,5,5,188,left,12
56,57,698683,703126,703364,250,3891,4159,25,1,4,4,10,198,4,17,238,right,18
57,58,708771,713381,713629,250,3720,4330,30,1,4,4,2,200,4,12,248,right,8
58,59,718860,723603,723785,250,3586,4464,29,1,5,5,10,210,5,12,182,left,20
59,60,728881,733308,733490,250,3898,4152,34,1,4,4,2,212,4,7,182,right,21
60,61,738920,743463,743706,250,3782,4268,11,1,5,5,0,212,5,8,243,left,16
61,62,748991,753451,753652,250,3876,4174,13,1,4,4,10,222,4,18,201,right,22
62,63,759046,763406,763605,250,3967,4083,38,1,5,5,0,222,5,10,199,left,20
63,64,769101,773861,774041,250,3568,4482,23,1,5,5,10,232,5,11,180,left,12
64,65,779106,783683,783764,250,3749,4301,48,1,4,4,10,242,4,9,81,right,10
65,66,789044,793654,793877,250,3718,4332,24,1,4,4,2,244,4,11,223,right,19
