,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,123000,127476,0,280,3814,4206,24,0,5,,10,0,5,19,0,left,30
1,2,133105,137800,138008,290,3568,4442,12,1,5,5,2,2,5,2,208,left,26
2,3,143061,147604,147898,300,3718,4282,41,1,5,5,10,12,5,10,294,left,5
3,4,153150,157910,158118,290,3523,4487,36,1,4,4,0,12,4,22,208,right,26
4,5,163172,167598,167792,280,3860,4160,50,1,4,4,10,22,4,15,194,right,31
5,6,173194,177871,178076,270,3614,4416,18,1,5,5,0,22,5,10,205,left,17
6,7,183216,187693,0,260,3818,4222,18,0,4,,2,22,4,4,0,right,32
7,8,193272,197898,198088,250,3685,4365,30,1,4,4,0,22,4,10,190,right,16
8,9,203277,207570,207768,250,4016,4034,42,1,5,5,10,32,5,8,198,left,3
9,10,213299,217976,218192,250,3633,4417,42,1,5,5,0,32,5,9,216,left,8
10,11,223338,227932,0,250,3716,4334,30,0,4,,2,32,4,9,0,right,8
11,12,233410,237970,238160,250,3747,4303,12,1,4,4,0,32,4,6,190,right,20
12,13,243399,247826,248060,250,3890,4160,14,1,5,5,10,42,5,16,234,left,5
13,14,253455,257914,258071,250,3856,4194,47,1,4,4,2,44,4,14,157,right,20
14,15,263443,267870,268092,250,3878,4172,20,1,5,5,0,44,5,4,222,left,3
15,16,273482,278109,278309,250,3678,4372,38,1,5,5,2,46,5,4,200,left,13
16,17,283504,288031,288215,250,3788,4262,45,1,4,4,0,46,4,14,184,right,12
17,18,293527,297854,298099,250,3976,4074,41,1,5,5,2,48,5,2,245,left,6
18,19,303599,308293,308452,250,3614,4436,48,1,4,4,10,58,4,7,159,right,9
19,20,313604,318198,318402,250,3724,4326,45,1,5,5,2,60,5,17,204,left,19
20,21,323643,328370,328570,250,3583,4467,45,1,4,4,0,60,4,9,200,right,5
21,22,333665,338025,0,250,3946,4104,19,0,5,,2,60,5,5,0,left,5
22,23,343721,348314,348497,250,3712,4338,16,1,4,4,10,70,4,4,183,right,15
23,24,353710,358169,0,250,3855,4195,15,0,4,,2,70,4,13,0,right,18
24,25,363765,368342,368532,250,3739,4311,31,1,5,5,10,80,5,15,190,left,18
25,26,373787,378464,0,250,3637,4413,23,0,4,,0,80,4,13,0,right,19
26,27,383843,388453,388656,250,3693,4357,35,1,5,5,10,90,5,2,203,left,11
27,28,393882,398275,398486,250,3920,4130,20,1,5,5,2,92,5,12,211,left,15
28,29,403904,408581,408819,250,3637,4413,13,1,4,4,0,92,4,13,238,right,14
29,30,413959,418302,418496,250,3964,4086,12,1,5,5,0,92,5,6,194,left,20
30,31,423948,428625,428813,250,3634,4416,12,1,4,4,10,102,4,10,188,right,5
31,32,433937,438447,0,250,3797,4253,31,0,5,,2,102,5,6,0,left,5
32,33,444009,448686,448874,250,3636,4414,16,1,4,4,10,112,4,12,188,right,19
33,34,454015,458742,458943,250,3579,4471,27,1,4,4,0,112,4,5,201,right,18
34,35,464037,468531,468728,250,3810,4240,49,1,4,4,2,114,4,2,197,right,7
35,36,474076,478469,0,250,3915,4135,17,0,5,,10,114,5,7,0,left,18
36,37,484131,488474,0,250,3962,4088,12,0,4,,0,114,4,4,0,right,16
37,38,494170,498864,499100,250,3624,4426,18,1,4,4,2,116,4,17,236,right,5
38,39,504226,508836,509030,250,3701,4349,48,1,4,4,10,126,4,10,194,right,15
39,40,514264,518825,0,250,3751,4299,27,0,5,,0,126,5,11,0,left,18
40,41,524320,528730,528927,250,3903,4147,20,1,5,5,10,136,5,12,197,left,6
41,42,534325,538969,0,250,3669,4381,44,0,5,,2,136,5,12,0,left,13
42,43,544398,549041,549252,250,3667,4383,45,1,5,5,0,136,5,9,211,left,6
43,44,554437,558830,559012,250,3915,4135,29,1,4,4,0,136,4,7,182,right,6
44,45,564425,569036,569231,250,3697,4353,10,1,5,5,2,138,5,7,195,left,4
