,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,153747,158374,158629,280,3685,4335,29,1,5,5,10,10,5,41,255,left,45
1,2,163870,168329,0,270,3828,4202,48,0,5,,2,10,5,6,0,left,38
2,3,173975,178319,178526,280,3929,4091,40,1,5,5,10,20,5,2,207,left,19
3,4,183997,188407,0,270,3888,4142,33,0,4,,0,20,4,17,0,right,27
4,5,194103,198379,198624,280,3998,4022,50,1,4,4,10,30,4,3,245,right,34
5,6,204175,208768,208999,290,3672,4338,31,1,5,5,0,30,5,4,231,left,34
6,7,214180,218823,219030,280,3644,4376,13,1,4,4,2,32,4,16,207,right,19
7,8,224168,228611,0,270,3844,4186,24,0,4,,0,32,4,6,0,right,3
8,9,234240,238817,0,280,3707,4313,28,0,5,,10,32,5,13,0,left,9
9,10,244296,248739,248970,290,3820,4190,31,1,5,5,0,32,5,2,231,left,6
10,11,254301,258912,259164,300,3642,4358,25,1,4,4,2,34,4,2,252,right,19
11,12,264323,268816,269112,300,3769,4231,27,1,4,4,0,34,4,11,296,right,8
12,13,274378,278654,278839,290,3989,4021,33,1,5,5,10,44,5,4,185,left,6
13,14,284350,289077,0,280,3555,4465,28,0,4,,2,44,4,11,0,right,17
14,15,294406,299116,299344,290,3565,4445,10,1,5,5,0,44,5,14,228,left,6
15,16,304394,309021,0,280,3651,4369,26,0,5,,2,44,5,7,0,left,7
16,17,314450,318742,318937,290,3974,4036,27,1,4,4,0,44,4,5,195,right,8
17,18,324405,328748,328932,300,3914,4086,23,1,5,5,2,46,5,6,184,left,7
18,19,334360,338619,338810,290,4009,4001,34,1,4,4,10,56,4,7,191,right,11
19,20,344332,348942,349124,280,3669,4351,38,1,5,5,2,58,5,8,182,left,15
20,21,354304,358747,358908,270,3850,4180,24,1,4,4,0,58,4,12,161,right,13
21,22,364259,368835,0,260,3730,4310,28,0,5,,2,58,5,15,0,left,10
22,23,374331,378690,378700,250,3953,4097,37,1,4,4,10,68,4,11,10,right,6
23,24,384169,388879,0,250,3601,4449,25,0,4,,2,68,4,10,0,right,13
24,25,394224,398635,398861,250,3892,4158,42,1,5,5,10,78,5,2,226,left,8
25,26,404263,408856,0,250,3724,4326,11,0,4,,0,78,4,16,0,right,7
26,27,414302,418929,419078,260,3668,4372,10,1,5,5,10,88,5,4,149,left,6
27,28,424224,428900,0,250,3634,4416,40,0,5,,2,88,5,9,0,left,7
28,29,434296,438622,0,260,3979,4061,38,0,4,,0,88,4,14,0,right,11
29,30,444384,448727,448891,270,3950,4080,26,1,5,5,0,88,5,12,164,left,12
30,31,454340,458716,0,280,3907,4113,46,0,4,,10,88,4,12,0,right,8
31,32,464412,468721,0,290,3956,4054,25,0,5,,2,88,5,4,0,left,4
32,33,474467,479060,479214,300,3669,4331,47,1,4,4,10,98,4,11,154,right,8
33,34,484405,488749,0,300,3909,4091,32,0,4,,0,98,4,2,0,right,3
