,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,129506,134033,134254,280,3792,4228,31,1,5,5,10,10,5,48,221,left,47
1,2,139595,144272,0,270,3617,4413,10,0,5,,2,10,5,13,0,left,36
2,3,149650,154077,154321,280,3858,4162,29,1,5,5,10,20,5,14,244,left,6
3,4,159706,164349,0,270,3660,4370,10,0,4,,0,20,4,22,0,right,38
4,5,169795,174555,174769,280,3525,4495,35,1,4,4,10,30,4,14,214,right,24
5,6,179850,184260,184499,290,3856,4154,31,1,5,5,0,30,5,5,239,left,48
6,7,189889,194366,194586,280,3809,4211,15,1,4,4,2,32,4,15,220,right,36
7,8,199911,204304,204545,270,3899,4131,32,1,4,4,0,32,4,11,241,right,18
8,9,209967,214493,214695,260,3780,4260,17,1,5,5,10,42,5,15,202,left,19
9,10,219989,224281,0,250,4019,4031,32,0,5,,0,42,5,10,0,left,17
10,11,230061,234721,234950,250,3645,4405,39,1,4,4,2,44,4,4,229,right,18
11,12,240116,244509,0,250,3922,4128,26,0,4,,0,44,4,13,0,right,11
12,13,250172,254682,254895,250,3794,4256,43,1,5,5,10,54,5,3,213,left,8
13,14,260211,264554,264773,250,3969,4081,35,1,4,4,2,56,4,11,219,right,7
14,15,270266,274977,0,250,3599,4451,27,0,5,,0,56,5,9,0,left,15
15,16,280322,285082,0,250,3557,4493,22,0,5,,2,56,5,16,0,left,7
16,17,290377,294921,295167,260,3758,4282,16,1,4,4,0,56,4,11,246,right,11
17,18,300416,305110,305341,270,3591,4439,42,1,5,5,2,58,5,4,231,left,17
18,19,310438,315132,315353,260,3606,4434,33,1,4,4,10,68,4,9,221,right,7
19,20,320477,325237,325439,250,3558,4492,16,1,5,5,2,70,5,16,202,left,17
20,21,330499,334892,0,250,3917,4133,23,0,4,,0,70,4,9,0,right,16
21,22,340554,344998,0,250,3874,4176,13,0,5,,2,70,5,17,0,left,10
22,23,350593,355170,0,260,3719,4321,34,0,4,,10,70,4,5,0,right,3
23,24,360665,364992,365234,270,3959,4071,32,1,4,4,2,72,4,5,242,right,16
24,25,370704,375364,375591,280,3618,4402,28,1,5,5,10,82,5,7,227,left,17
25,26,380710,385353,385634,290,3631,4379,50,1,4,4,0,82,4,13,281,right,6
26,27,390799,395225,395449,300,3827,4173,40,1,5,5,10,92,5,2,224,left,17
27,28,400804,405331,405556,290,3742,4268,43,1,5,5,2,94,5,8,225,left,10
28,29,410826,415186,0,280,3927,4093,40,0,4,,0,94,4,16,0,right,7
29,30,420915,425660,425946,290,3518,4492,41,1,5,5,0,94,5,2,286,left,10
30,31,430987,435581,435801,280,3681,4339,33,1,4,4,10,104,4,4,220,right,9
31,32,441009,445352,445597,270,3948,4082,26,1,5,5,2,106,5,10,245,left,17
32,33,451048,455458,0,260,3896,4144,23,0,4,,10,106,4,15,0,right,7
33,34,461120,465547,0,250,3883,4167,43,0,4,,0,106,4,9,0,right,10
34,35,471192,475552,475804,260,3934,4106,33,1,4,4,2,108,4,3,252,right,7
35,36,481265,485775,485991,270,3788,4242,41,1,5,5,10,118,5,17,216,left,18
36,37,491287,496047,0,260,3544,4496,24,0,4,,0,118,4,13,0,right,9
37,38,501359,505752,505981,270,3899,4131,32,1,4,4,2,120,4,11,229,right,10
38,39,511398,516025,516242,280,3648,4372,46,1,4,4,10,130,4,4,217,right,18
39,40,521420,525696,0,270,4020,4010,35,0,5,,0,130,5,15,0,left,4
40,41,531509,536252,536458,280,3542,4478,29,1,5,5,10,140,5,14,206,left,15
41,42,541514,546141,546362,290,3650,4360,32,1,5,5,2,142,5,16,221,left,4
42,43,551536,555963,0,280,3853,4167,19,0,5,,0,142,5,9,0,left,18
43,44,561592,566102,566354,290,3765,4245,37,1,4,4,0,142,4,14,252,right,15
44,45,571647,576157,576391,300,3747,4253,45,1,5,5,2,144,5,6,234,left,13
45,46,581669,586313,0,290,3632,4378,21,0,4,,0,144,4,15,0,right,5
46,47,591741,596134,596383,300,3874,4126,18,1,4,4,2,146,4,16,249,right,12
47,48,601747,606273,0,300,3739,4261,27,0,5,,0,146,5,14,0,left,16
48,49,611802,616496,616737,300,3574,4426,26,1,4,4,2,148,4,17,241,right,6
49,50,621808,626301,0,300,3791,4209,20,0,5,,0,148,5,17,0,left,7
50,51,631880,636490,636689,300,3648,4352,48,1,4,4,10,158,4,7,199,right,13
51,52,641869,646546,646776,300,3578,4422,29,1,5,5,2,160,5,4,230,left,19
52,53,651857,656534,656763,300,3583,4417,11,1,5,5,10,170,5,9,229,left,4
53,54,661829,666373,0,290,3720,4290,39,0,5,,0,170,5,3,0,left,5
54,55,671901,676528,676727,300,3634,4366,46,1,4,4,10,180,4,10,199,right,11
55,56,681873,686166,0,300,3969,4031,24,0,5,,2,180,5,11,0,left,4
56,57,691929,696289,696490,300,3899,4101,50,1,4,4,10,190,4,8,201,right,9
57,58,701934,706678,706885,300,3520,4480,44,1,4,4,2,192,4,12,207,right,17
58,59,711923,716466,716690,300,3711,4289,15,1,5,5,10,202,5,3,224,left,6
59,60,721912,726405,726609,290,3777,4233,16,1,4,4,2,204,4,9,204,right,19
60,61,731900,736227,0,280,3953,4067,50,0,5,,0,204,5,9,0,left,17
61,62,741989,746382,746561,290,3871,4139,37,1,4,4,10,214,4,3,179,right,17
62,63,751945,756521,0,280,3704,4316,23,0,5,,0,214,5,9,0,left,14
63,64,762000,766644,766860,290,3620,4390,42,1,5,5,10,224,5,3,216,left,10
64,65,771989,776499,776759,300,3750,4250,17,1,4,4,10,234,4,9,260,right,8
65,66,782011,786554,0,290,3733,4277,30,0,4,,2,234,4,15,0,right,17
