,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,156548,160958,0,280,3896,4124,36,0,5,,10,0,5,35,0,left,46
1,2,166672,171197,171399,290,3762,4248,11,1,5,5,2,2,5,11,202,left,32
2,3,176659,181102,181312,300,3813,4187,38,1,5,5,10,12,5,5,210,left,6
3,4,186664,190991,191188,290,3952,4058,48,1,4,4,0,12,4,18,197,right,28
4,5,196686,201163,201390,280,3801,4219,15,1,4,4,10,22,4,7,227,right,35
5,6,206708,211051,211229,270,3946,4084,15,1,5,5,0,22,5,8,178,left,35
6,7,216697,221040,0,260,3950,4090,49,0,4,,2,22,4,2,0,right,35
7,8,226786,231379,231572,250,3711,4339,45,1,4,4,0,22,4,3,193,right,18
8,9,236808,241217,0,250,3898,4152,35,0,5,,10,22,5,6,0,left,6
9,10,246880,251573,0,250,3622,4428,35,0,5,,0,22,5,14,0,left,15
10,11,256952,261662,0,260,3589,4451,47,0,4,,2,22,4,8,0,right,15
11,12,267040,271400,0,270,3925,4105,37,0,4,,0,22,4,4,0,right,19
12,13,277113,281606,281827,280,3791,4229,11,1,5,5,10,32,5,13,221,left,13
13,14,287101,291845,292087,290,3531,4479,42,1,4,4,2,34,4,14,242,right,5
14,15,297140,301483,301688,300,3916,4084,25,1,5,5,0,34,5,8,205,left,8
15,16,307112,311855,312060,300,3516,4484,30,1,5,5,2,36,5,8,205,left,9
16,17,317083,321443,321671,300,3902,4098,34,1,4,4,0,36,4,11,228,right,3
17,18,327089,331749,331945,300,3605,4395,15,1,5,5,2,38,5,14,196,left,16
18,19,337044,341587,341850,290,3727,4283,12,1,4,4,10,48,4,9,263,right,19
19,20,347066,351376,351632,280,3963,4057,47,1,5,5,2,50,5,2,256,left,5
20,21,357138,361781,0,270,3646,4384,33,0,4,,0,50,4,8,0,right,20
21,22,367227,371603,0,260,3927,4113,26,0,5,,2,50,5,12,0,left,18
22,23,377299,381976,0,270,3615,4415,21,0,4,,10,50,4,11,0,right,8
23,24,387371,391647,0,280,3998,4022,38,0,4,,2,50,4,3,0,right,13
24,25,397443,402170,402432,290,3541,4469,41,1,5,5,10,60,5,7,262,left,12
25,26,407481,411958,0,300,3789,4211,32,0,4,,0,60,4,15,0,right,8
26,27,417553,422080,0,300,3730,4270,37,0,5,,10,60,5,6,0,left,18
27,28,427626,432052,0,300,3839,4161,30,0,5,,2,60,5,14,0,left,14
28,29,437698,442207,0,300,3744,4256,10,0,4,,0,60,4,2,0,right,20
29,30,447736,452146,0,300,3852,4148,26,0,5,,0,60,5,11,0,left,6
30,31,457792,462201,462457,300,3847,4153,26,1,4,4,10,70,4,5,256,right,8
31,32,467814,472224,0,300,3843,4157,21,0,5,,2,70,5,2,0,left,8
32,33,477869,482329,0,300,3805,4195,50,0,4,,10,70,4,14,0,right,12
33,34,487958,492484,0,300,3739,4261,23,0,4,,0,70,4,14,0,right,17
34,35,498013,502523,502736,300,3748,4252,36,1,4,4,2,72,4,7,213,right,10
35,36,508002,512628,0,300,3633,4367,16,0,5,,10,72,5,8,0,left,15
36,37,518057,522717,522939,300,3604,4396,23,1,4,4,0,72,4,13,222,right,17
37,38,528046,532438,0,300,3867,4133,43,0,4,,2,72,4,8,0,right,11
