,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4124,5,3896,36,1,,0,46,156548,,0,0,0,5,0,35,160958,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10
1,4248,5,3762,11,1,,0,32,166672,,0,0,1,5,-999999,11,171197,5,202,171399,smallwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,290,2,1,2,2
2,4187,5,3813,38,1,,0,6,176659,,0,0,1,5,-999999,5,181102,5,210,181312,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,3,1,3,10
3,4058,4,3952,48,1,,0,28,186664,,0,0,1,4,-999999,18,190991,4,197,191188,nowinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,290,4,1,4,0
4,4219,4,3801,15,1,,0,35,196686,,0,0,1,4,-999999,7,201163,4,227,201390,bigwinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,280,5,1,5,10
5,4084,5,3946,15,1,,0,35,206708,,0,0,1,5,-999999,8,211051,5,178,211229,nowinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,270,6,1,6,0
6,4090,4,3950,49,1,,0,35,216697,,0,0,0,4,0,2,221040,,0,0,smallwinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,260,7,1,7,2
7,4339,4,3711,45,1,,0,18,226786,,0,0,1,4,-999999,3,231379,4,193,231572,nowinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,8,1,8,0
8,4152,5,3898,35,1,,0,6,236808,,0,0,0,5,0,6,241217,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,250,9,1,9,10
9,4428,5,3622,35,1,,0,15,246880,,0,0,0,5,0,14,251573,,0,0,nowinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,250,10,1,10,0
10,4451,4,3589,47,1,,0,15,256952,,0,0,0,4,0,8,261662,,0,0,smallwinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,260,11,1,11,2
11,4105,4,3925,37,1,,0,19,267040,,0,0,0,4,0,4,271400,,0,0,nowinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,270,12,1,12,0
12,4229,5,3791,11,1,,0,13,277113,,0,0,1,5,-999999,13,281606,5,221,281827,bigwinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,280,13,1,13,10
13,4479,4,3531,42,1,,0,5,287101,,0,0,1,4,-999999,14,291845,4,242,292087,smallwinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,290,14,1,14,2
14,4084,5,3916,25,1,,0,8,297140,,0,0,1,5,-999999,8,301483,5,205,301688,nowinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,300,15,1,15,0
15,4484,5,3516,30,1,,0,9,307112,,0,0,1,5,-999999,8,311855,5,205,312060,smallwinleft.bmp,left,TrialProc,TrialList,36,targetleft.bmp,left,300,16,1,16,2
16,4098,4,3902,34,1,,0,3,317083,,0,0,1,4,-999999,11,321443,4,228,321671,nowinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,300,17,1,17,0
17,4395,5,3605,15,1,,0,16,327089,,0,0,1,5,-999999,14,331749,5,196,331945,smallwinleft.bmp,left,TrialProc,TrialList,38,targetleft.bmp,left,300,18,1,18,2
18,4283,4,3727,12,1,,0,19,337044,,0,0,1,4,-999999,9,341587,4,263,341850,bigwinright.bmp,right,TrialProc,TrialList,48,targetright.bmp,right,290,19,1,19,10
19,4057,5,3963,47,1,,0,5,347066,,0,0,1,5,-999999,2,351376,5,256,351632,smallwinleft.bmp,left,TrialProc,TrialList,50,targetleft.bmp,left,280,20,1,20,2
20,4384,4,3646,33,1,,0,20,357138,,0,0,0,4,0,8,361781,,0,0,nowinright.bmp,right,TrialProc,TrialList,50,targetright.bmp,right,270,21,1,21,0
