,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4104,5,3916,44,1,,0,13,85632,,0,0,1,5,-999999,5,89992,5,217,90209,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10
1,4034,5,3996,14,1,,0,23,95671,,0,0,1,5,-999999,8,99964,5,218,100182,smallwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,270,2,1,2,2
2,4310,5,3730,28,1,,0,3,105676,,0,0,1,5,-999999,16,110253,5,224,110477,bigwinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,260,3,1,3,10
3,4352,4,3698,25,1,,0,39,115748,,0,0,0,4,0,41,120392,,0,0,nowinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,4,1,4,0
4,4238,4,3812,21,1,,0,25,125854,,0,0,0,4,0,4,130347,,0,0,bigwinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,5,1,5,10
5,4023,5,4017,47,1,,0,46,135943,,0,0,1,5,-999999,2,140219,5,231,140450,nowinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,260,6,1,6,0
6,4317,4,3733,36,1,,0,37,146015,,0,0,1,4,-999999,9,150592,4,224,150816,smallwinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,250,7,1,7,2
7,4010,4,4040,15,1,,0,14,156070,,0,0,1,4,-999999,15,160346,4,214,160560,nowinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,250,8,1,8,0
8,4450,5,3600,29,1,,0,18,166092,,0,0,1,5,-999999,10,170803,5,219,171022,bigwinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,250,9,1,9,10
9,4195,5,3855,34,1,,0,4,176131,,0,0,0,5,0,14,180591,,0,0,nowinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,250,10,1,10,0
10,4250,4,3800,34,1,,0,16,186203,,0,0,1,4,-999999,9,190713,4,232,190945,smallwinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,11,1,11,2
11,4345,4,3705,35,1,,0,16,196259,,0,0,1,4,-999999,14,200869,4,235,201104,nowinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,12,1,12,0
12,4009,5,4041,28,1,,0,15,206331,,0,0,1,5,-999999,16,210607,5,150,210757,bigwinleft.bmp,left,TrialProc,TrialList,46,targetleft.bmp,left,250,13,1,13,10
13,4176,4,3874,50,1,,0,6,216303,,0,0,1,4,-999999,16,220746,4,195,220941,smallwinright.bmp,right,TrialProc,TrialList,48,targetright.bmp,right,250,14,1,14,2
14,4173,5,3877,23,1,,0,17,226342,,0,0,1,5,-999999,2,230768,5,183,230951,nowinleft.bmp,left,TrialProc,TrialList,48,targetleft.bmp,left,250,15,1,15,0
15,4498,5,3552,32,1,,0,10,236330,,0,0,1,5,-999999,12,241091,5,198,241289,smallwinleft.bmp,left,TrialProc,TrialList,50,targetleft.bmp,left,250,16,1,16,2
16,4272,4,3778,29,1,,0,18,246352,,0,0,1,4,-999999,4,250879,4,245,251124,nowinright.bmp,right,TrialProc,TrialList,50,targetright.bmp,right,250,17,1,17,0
17,4120,5,3930,35,1,,0,5,256408,,0,0,1,5,-999999,5,260784,5,0,260784,smallwinleft.bmp,left,TrialProc,TrialList,52,targetleft.bmp,left,250,18,1,18,2
18,4454,4,3596,25,1,,0,15,266246,,0,0,1,4,-999999,5,270956,4,193,271149,bigwinright.bmp,right,TrialProc,TrialList,62,targetright.bmp,right,250,19,1,19,10
19,4147,5,3903,10,1,,0,8,276251,,0,0,1,5,-999999,12,280661,5,22,280683,smallwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,250,20,1,20,2
20,4141,4,3909,35,1,,0,7,286073,,0,0,1,4,-999999,2,290467,4,153,290620,nowinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,250,21,1,21,0
21,4252,5,3798,16,1,,0,14,296045,,0,0,1,5,-999999,7,300555,5,236,300791,smallwinleft.bmp,left,TrialProc,TrialList,66,targetleft.bmp,left,250,22,1,22,2
22,4103,4,3947,19,1,,0,17,306100,,0,0,1,4,-999999,6,310460,4,20,310480,bigwinright.bmp,right,TrialProc,TrialList,76,targetright.bmp,right,250,23,1,23,10
23,4347,4,3703,29,1,,0,15,315939,,0,0,1,4,-999999,12,320549,4,198,320747,smallwinright.bmp,right,TrialProc,TrialList,78,targetright.bmp,right,250,24,1,24,2
24,4239,5,3811,17,1,,0,4,325944,,0,0,1,5,-999999,3,330437,5,247,330684,bigwinleft.bmp,left,TrialProc,TrialList,88,targetleft.bmp,left,250,25,1,25,10
25,4006,4,4044,27,1,,0,17,336000,,0,0,1,4,-999999,2,340259,4,229,340488,nowinright.bmp,right,TrialProc,TrialList,88,targetright.bmp,right,250,26,1,26,0
26,4419,5,3631,10,1,,0,6,346038,,0,0,1,5,-999999,7,350715,5,226,350941,bigwinleft.bmp,left,TrialProc,TrialList,98,targetleft.bmp,left,250,27,1,27,10
27,4093,5,3957,18,1,,0,6,356060,,0,0,1,5,-999999,16,360420,5,201,360621,smallwinleft.bmp,left,TrialProc,TrialList,100,targetleft.bmp,left,250,28,1,28,2
28,4319,4,3731,40,1,,0,15,366082,,0,0,0,4,0,7,370659,,0,0,nowinright.bmp,right,TrialProc,TrialList,100,targetright.bmp,right,250,29,1,29,0
29,4390,5,3660,14,1,,0,10,376155,,0,0,1,5,-999999,2,380798,5,221,381019,nowinleft.bmp,left,TrialProc,TrialList,100,targetleft.bmp,left,250,30,1,30,0
30,4199,4,3851,47,1,,0,19,386193,,0,0,1,4,-999999,10,390653,4,222,390875,bigwinright.bmp,right,TrialProc,TrialList,110,targetright.bmp,right,250,31,1,31,10
31,4337,5,3713,29,1,,0,20,396266,,0,0,1,5,-999999,5,400859,5,184,401043,smallwinleft.bmp,left,TrialProc,TrialList,112,targetleft.bmp,left,250,32,1,32,2
32,4380,4,3670,43,1,,0,5,406271,,0,0,1,4,-999999,12,410914,4,216,411130,bigwinright.bmp,right,TrialProc,TrialList,122,targetright.bmp,right,250,33,1,33,10
33,4122,4,3928,20,1,,0,7,416310,,0,0,0,4,0,3,420686,,0,0,nowinright.bmp,right,TrialProc,TrialList,122,targetright.bmp,right,250,34,1,34,0
34,4455,4,3595,14,1,,0,13,426365,,0,0,0,4,0,4,431075,,0,0,smallwinright.bmp,right,TrialProc,TrialList,122,targetright.bmp,right,250,35,1,35,2
35,4197,5,3853,28,1,,0,4,436405,,0,0,1,5,-999999,12,440880,5,156,441036,bigwinleft.bmp,left,TrialProc,TrialList,132,targetleft.bmp,left,250,36,1,36,10
36,4147,4,3903,34,1,,0,6,446393,,0,0,1,4,-999999,11,450802,4,173,450975,nowinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,37,1,37,0
37,4266,4,3784,10,1,,0,16,456398,,0,0,0,4,0,10,460925,,0,0,smallwinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,38,1,38,2
38,4114,4,3936,42,1,,0,7,466437,,0,0,0,4,0,11,470813,,0,0,bigwinright.bmp,right,TrialProc,TrialList,132,targetright.bmp,right,250,39,1,39,10
39,4415,5,3635,34,1,,0,8,476509,,0,0,1,5,-999999,11,481186,5,239,481425,nowinleft.bmp,left,TrialProc,TrialList,132,targetleft.bmp,left,250,40,1,40,0
40,4040,5,4010,18,1,,0,16,486581,,0,0,1,5,-999999,2,490874,5,209,491083,bigwinleft.bmp,left,TrialProc,TrialList,142,targetleft.bmp,left,250,41,1,41,10
41,4279,5,3771,15,1,,0,15,496603,,0,0,1,5,-999999,13,501146,5,74,501220,smallwinleft.bmp,left,TrialProc,TrialList,144,targetleft.bmp,left,250,42,1,42,2
42,4002,5,4048,29,1,,0,18,506491,,0,0,1,5,-999999,7,510751,5,198,510949,nowinleft.bmp,left,TrialProc,TrialList,144,targetleft.bmp,left,250,43,1,43,0
43,4357,4,3693,23,1,,0,5,516497,,0,0,1,4,-999999,2,521107,4,210,521317,nowinright.bmp,right,TrialProc,TrialList,144,targetright.bmp,right,250,44,1,44,0
44,4409,5,3641,37,1,,0,11,526519,,0,0,1,5,-999999,17,531196,5,193,531389,smallwinleft.bmp,left,TrialProc,TrialList,146,targetleft.bmp,left,250,45,1,45,2
45,4282,4,3768,11,1,,0,13,536541,,0,0,1,4,-999999,10,541084,4,249,541333,nowinright.bmp,right,TrialProc,TrialList,146,targetright.bmp,right,250,46,1,46,0
46,4334,4,3716,30,1,,0,6,546580,,0,0,1,4,-999999,8,551173,4,194,551367,smallwinright.bmp,right,TrialProc,TrialList,148,targetright.bmp,right,250,47,1,47,2
47,4023,5,4027,34,1,,0,20,556602,,0,0,1,5,-999999,2,560878,5,223,561101,nowinleft.bmp,left,TrialProc,TrialList,148,targetleft.bmp,left,250,48,1,48,0
48,4045,4,4005,12,1,,0,16,566657,,0,0,1,4,-999999,14,570967,4,48,571015,smallwinright.bmp,right,TrialProc,TrialList,150,targetright.bmp,right,250,49,1,49,2
