,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4335,5,3685,29,1,,0,45,153747,,0,0,1,5,-999999,41,158374,5,255,158629,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10
1,4202,5,3828,48,1,,0,38,163870,,0,0,0,5,0,6,168329,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,270,2,1,2,2
2,4091,5,3929,40,1,,0,19,173975,,0,0,1,5,-999999,2,178319,5,207,178526,bigwinleft.bmp,left,TrialProc,TrialList,20,targetleft.bmp,left,280,3,1,3,10
3,4142,4,3888,33,1,,0,27,183997,,0,0,0,4,0,17,188407,,0,0,nowinright.bmp,right,TrialProc,TrialList,20,targetright.bmp,right,270,4,1,4,0
4,4022,4,3998,50,1,,0,34,194103,,0,0,1,4,-999999,3,198379,4,245,198624,bigwinright.bmp,right,TrialProc,TrialList,30,targetright.bmp,right,280,5,1,5,10
5,4338,5,3672,31,1,,0,34,204175,,0,0,1,5,-999999,4,208768,5,231,208999,nowinleft.bmp,left,TrialProc,TrialList,30,targetleft.bmp,left,290,6,1,6,0
6,4376,4,3644,13,1,,0,19,214180,,0,0,1,4,-999999,16,218823,4,207,219030,smallwinright.bmp,right,TrialProc,TrialList,32,targetright.bmp,right,280,7,1,7,2
7,4186,4,3844,24,1,,0,3,224168,,0,0,0,4,0,6,228611,,0,0,nowinright.bmp,right,TrialProc,TrialList,32,targetright.bmp,right,270,8,1,8,0
8,4313,5,3707,28,1,,0,9,234240,,0,0,0,5,0,13,238817,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,280,9,1,9,10
9,4190,5,3820,31,1,,0,6,244296,,0,0,1,5,-999999,2,248739,5,231,248970,nowinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,290,10,1,10,0
10,4358,4,3642,25,1,,0,19,254301,,0,0,1,4,-999999,2,258912,4,252,259164,smallwinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,300,11,1,11,2
11,4231,4,3769,27,1,,0,8,264323,,0,0,1,4,-999999,11,268816,4,296,269112,nowinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,300,12,1,12,0
12,4021,5,3989,33,1,,0,6,274378,,0,0,1,5,-999999,4,278654,5,185,278839,bigwinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,290,13,1,13,10
13,4465,4,3555,28,1,,0,17,284350,,0,0,0,4,0,11,289077,,0,0,smallwinright.bmp,right,TrialProc,TrialList,44,targetright.bmp,right,280,14,1,14,2
14,4445,5,3565,10,1,,0,6,294406,,0,0,1,5,-999999,14,299116,5,228,299344,nowinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,290,15,1,15,0
15,4369,5,3651,26,1,,0,7,304394,,0,0,0,5,0,7,309021,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,280,16,1,16,2
16,4036,4,3974,27,1,,0,8,314450,,0,0,1,4,-999999,5,318742,4,195,318937,nowinright.bmp,right,TrialProc,TrialList,44,targetright.bmp,right,290,17,1,17,0
17,4086,5,3914,23,1,,0,7,324405,,0,0,1,5,-999999,6,328748,5,184,328932,smallwinleft.bmp,left,TrialProc,TrialList,46,targetleft.bmp,left,300,18,1,18,2
18,4001,4,4009,34,1,,0,11,334360,,0,0,1,4,-999999,7,338619,4,191,338810,bigwinright.bmp,right,TrialProc,TrialList,56,targetright.bmp,right,290,19,1,19,10
19,4351,5,3669,38,1,,0,15,344332,,0,0,1,5,-999999,8,348942,5,182,349124,smallwinleft.bmp,left,TrialProc,TrialList,58,targetleft.bmp,left,280,20,1,20,2
20,4180,4,3850,24,1,,0,13,354304,,0,0,1,4,-999999,12,358747,4,161,358908,nowinright.bmp,right,TrialProc,TrialList,58,targetright.bmp,right,270,21,1,21,0
21,4310,5,3730,28,1,,0,10,364259,,0,0,0,5,0,15,368835,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,58,targetleft.bmp,left,260,22,1,22,2
22,4097,4,3953,37,1,,0,6,374331,,0,0,1,4,-999999,11,378690,4,10,378700,bigwinright.bmp,right,TrialProc,TrialList,68,targetright.bmp,right,250,23,1,23,10
23,4449,4,3601,25,1,,0,13,384169,,0,0,0,4,0,10,388879,,0,0,smallwinright.bmp,right,TrialProc,TrialList,68,targetright.bmp,right,250,24,1,24,2
24,4158,5,3892,42,1,,0,8,394224,,0,0,1,5,-999999,2,398635,5,226,398861,bigwinleft.bmp,left,TrialProc,TrialList,78,targetleft.bmp,left,250,25,1,25,10
25,4326,4,3724,11,1,,0,7,404263,,0,0,0,4,0,16,408856,,0,0,nowinright.bmp,right,TrialProc,TrialList,78,targetright.bmp,right,250,26,1,26,0
26,4372,5,3668,10,1,,0,6,414302,,0,0,1,5,-999999,4,418929,5,149,419078,bigwinleft.bmp,left,TrialProc,TrialList,88,targetleft.bmp,left,260,27,1,27,10
27,4416,5,3634,40,1,,0,7,424224,,0,0,0,5,0,9,428900,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,88,targetleft.bmp,left,250,28,1,28,2
