,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,85632,89992,90209,280,3916,4104,44,1,5,5,10,10,5,5,217,left,13
1,2,95671,99964,100182,270,3996,4034,14,1,5,5,2,12,5,8,218,left,23
2,3,105676,110253,110477,260,3730,4310,28,1,5,5,10,22,5,16,224,left,3
3,4,115748,120392,0,250,3698,4352,25,0,4,,0,22,4,41,0,right,39
4,5,125854,130347,0,250,3812,4238,21,0,4,,10,22,4,4,0,right,25
5,6,135943,140219,140450,260,4017,4023,47,1,5,5,0,22,5,2,231,left,46
6,7,146015,150592,150816,250,3733,4317,36,1,4,4,2,24,4,9,224,right,37
7,8,156070,160346,160560,250,4040,4010,15,1,4,4,0,24,4,15,214,right,14
8,9,166092,170803,171022,250,3600,4450,29,1,5,5,10,34,5,10,219,left,18
9,10,176131,180591,0,250,3855,4195,34,0,5,,0,34,5,14,0,left,4
10,11,186203,190713,190945,250,3800,4250,34,1,4,4,2,36,4,9,232,right,16
11,12,196259,200869,201104,250,3705,4345,35,1,4,4,0,36,4,14,235,right,16
12,13,206331,210607,210757,250,4041,4009,28,1,5,5,10,46,5,16,150,left,15
13,14,216303,220746,220941,250,3874,4176,50,1,4,4,2,48,4,16,195,right,6
14,15,226342,230768,230951,250,3877,4173,23,1,5,5,0,48,5,2,183,left,17
15,16,236330,241091,241289,250,3552,4498,32,1,5,5,2,50,5,12,198,left,10
16,17,246352,250879,251124,250,3778,4272,29,1,4,4,0,50,4,4,245,right,18
17,18,256408,260784,260784,250,3930,4120,35,1,5,5,2,52,5,5,0,left,5
18,19,266246,270956,271149,250,3596,4454,25,1,4,4,10,62,4,5,193,right,15
19,20,276251,280661,280683,250,3903,4147,10,1,5,5,2,64,5,12,22,left,8
20,21,286073,290467,290620,250,3909,4141,35,1,4,4,0,64,4,2,153,right,7
21,22,296045,300555,300791,250,3798,4252,16,1,5,5,2,66,5,7,236,left,14
22,23,306100,310460,310480,250,3947,4103,19,1,4,4,10,76,4,6,20,right,17
23,24,315939,320549,320747,250,3703,4347,29,1,4,4,2,78,4,12,198,right,15
24,25,325944,330437,330684,250,3811,4239,17,1,5,5,10,88,5,3,247,left,4
25,26,336000,340259,340488,250,4044,4006,27,1,4,4,0,88,4,2,229,right,17
