,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,143758,148368,148608,280,3696,4324,41,1,5,5,10,10,5,18,240,left,12
1,2,153830,158356,158574,270,3789,4241,46,1,5,5,2,12,5,18,218,left,9
2,3,163902,168378,168581,260,3843,4197,27,1,5,5,10,22,5,12,203,left,21
3,4,173957,178567,178784,250,3716,4334,18,1,4,4,0,22,4,9,217,right,23
4,5,184012,188688,188902,250,3660,4390,38,1,4,4,10,32,4,19,214,right,16
5,6,194083,198710,198892,250,3697,4353,11,1,5,5,0,32,5,6,182,left,12
6,7,204088,208681,208887,250,3735,4315,12,1,4,4,2,34,4,11,206,right,22
7,8,214126,218887,219136,250,3567,4483,23,1,4,4,0,34,4,10,249,right,21
8,9,224215,228641,228851,250,3901,4149,21,1,5,5,10,44,5,10,210,left,11
9,10,234253,238946,239142,250,3635,4415,36,1,5,5,0,44,5,11,196,left,12
10,11,244291,248918,249118,250,3703,4347,11,1,4,4,2,46,4,13,200,right,14
11,12,254329,258723,258929,250,3929,4121,37,1,4,4,0,46,4,5,206,right,22
12,13,264384,268744,268985,250,3970,4080,42,1,5,5,10,56,5,12,241,left,13
13,14,274473,278782,279026,250,4016,4034,26,1,4,4,2,58,4,8,244,right,8
14,15,284561,289071,289270,250,3814,4236,23,1,5,5,0,58,5,7,199,left,24
15,16,294599,299360,0,250,3573,4477,49,0,5,,2,58,5,16,0,left,10
16,17,304738,309131,309346,250,3941,4109,20,1,4,4,0,58,4,17,215,right,18
17,18,314793,319186,319401,250,3929,4121,15,1,5,5,2,60,5,5,215,left,14
18,19,324831,329124,329336,250,4034,4016,30,1,4,4,10,70,4,10,212,right,18
19,20,334886,339429,339627,250,3790,4260,23,1,5,5,2,72,5,16,198,left,20
20,21,344924,349534,349723,250,3727,4323,48,1,4,4,0,72,4,20,189,right,10
21,22,354996,359572,359758,250,3755,4295,29,1,5,5,2,74,5,14,186,left,19
22,23,365034,369677,369888,250,3681,4369,48,1,4,4,10,84,4,7,211,right,21
23,24,375106,379599,379767,250,3833,4217,41,1,4,4,2,86,4,9,168,right,19
24,25,385127,389804,390003,250,3658,4392,28,1,5,5,10,96,5,17,199,left,9
25,26,395199,399976,400171,250,3559,4491,46,1,4,4,0,96,4,19,195,right,22
