,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,94320,99097,99339,280,3550,4470,35,1,5,5,10,10,5,56,242,left,47
1,2,104459,109019,109217,270,3734,4296,36,1,5,5,2,12,5,13,198,left,49
2,3,114464,118974,119152,260,3790,4250,44,1,5,5,10,22,5,9,178,left,14
3,4,124470,128813,129001,250,3989,4061,49,1,4,4,0,22,4,31,188,right,23
4,5,134525,139219,139403,250,3620,4430,45,1,4,4,10,32,4,13,184,right,18
5,6,144581,149308,149484,250,3585,4465,18,1,5,5,0,32,5,11,176,left,39
6,7,154603,158929,159134,250,3985,4065,12,1,4,4,2,34,4,10,205,right,49
7,8,164608,169168,169363,250,3743,4307,50,1,4,4,0,34,4,2,195,right,4
8,9,174647,178923,179098,250,4028,4022,32,1,5,5,10,44,5,3,175,left,17
9,10,184652,189129,189318,250,3829,4221,29,1,5,5,0,44,5,5,189,left,18
10,11,194658,199034,199222,250,3940,4110,20,1,4,4,2,46,4,15,188,right,5
11,12,204663,209190,209358,250,3787,4263,16,1,4,4,0,46,4,13,168,right,13
12,13,214652,219179,0,250,3777,4273,20,0,5,,10,46,5,3,0,left,17
13,14,224707,229235,229440,250,3775,4275,15,1,4,4,2,48,4,2,205,right,13
14,15,234713,239374,239559,250,3642,4408,49,1,5,5,0,48,5,2,185,left,18
15,16,244752,249245,249454,250,3824,4226,29,1,5,5,2,50,5,16,209,left,18
16,17,254774,259467,259681,250,3618,4432,48,1,4,4,0,50,4,10,214,right,5
17,18,264829,269206,269409,250,3936,4114,46,1,5,5,2,52,5,12,203,left,19
18,19,274868,279545,279737,250,3641,4409,42,1,4,4,10,62,4,17,192,right,4
19,20,284890,289367,289600,250,3840,4210,35,1,5,5,2,64,5,16,233,left,7
20,21,294946,299272,299479,250,3986,4064,10,1,4,4,0,64,4,11,207,right,15
21,22,304951,309695,309882,250,3559,4491,25,1,5,5,2,66,5,2,187,left,7
22,23,314956,319349,0,250,3913,4137,19,0,4,,10,66,4,5,0,right,8
23,24,325012,329338,0,250,3986,4064,25,0,4,,2,66,4,11,0,right,15
24,25,335067,339544,339720,250,3841,4209,26,1,5,5,10,76,5,17,176,left,8
25,26,345056,349516,349701,250,3849,4201,23,1,4,4,0,76,4,8,185,right,7
26,27,355061,359722,359908,250,3657,4393,42,1,5,5,10,86,5,17,186,left,10
27,28,365084,369376,369563,250,4022,4028,43,1,5,5,2,88,5,13,187,left,9
28,29,375106,379365,379541,250,4046,4004,31,1,4,4,0,88,4,4,176,right,7
29,30,385111,389572,389763,250,3842,4208,41,1,5,5,0,88,5,2,191,left,19
30,31,395133,399727,399894,250,3716,4334,17,1,4,4,10,98,4,9,167,right,9
31,32,405122,409481,409640,250,3953,4097,38,1,5,5,2,100,5,11,159,left,17
32,33,415111,419704,419877,250,3713,4337,23,1,4,4,10,110,4,5,173,right,13
33,34,425099,429510,429644,250,3892,4158,48,1,4,4,0,110,4,2,134,right,10
34,35,435071,439815,440002,250,3566,4484,48,1,4,4,2,112,4,9,187,right,18
35,36,445110,449603,449784,250,3822,4228,45,1,5,5,10,122,5,14,181,left,19
36,37,455115,459425,0,250,3993,4057,42,0,4,,0,122,4,2,0,right,5
37,38,465188,469480,469643,250,4021,4029,42,1,4,4,2,124,4,12,163,right,8
38,39,475176,479536,479708,250,3947,4103,30,1,4,4,10,134,4,6,172,right,8
39,40,485182,489758,489930,250,3736,4314,36,1,5,5,0,134,5,11,172,left,20
40,41,495187,499464,499679,250,4026,4024,50,1,5,5,10,144,5,2,215,left,14
41,42,505243,509636,509823,250,3912,4138,44,1,5,5,2,146,5,4,187,left,17
42,43,515265,519541,519615,250,4028,4022,10,1,5,5,0,146,5,3,74,left,6
43,44,525136,529446,529692,250,4000,4050,39,1,4,4,0,146,4,9,246,right,6
44,45,535209,539952,540156,250,3566,4484,10,1,5,5,2,148,5,8,204,left,11
45,46,545214,549941,550127,250,3582,4468,46,1,4,4,0,148,4,8,186,right,7
46,47,555236,559947,560135,250,3604,4446,41,1,4,4,2,150,4,14,188,right,4
47,48,565258,569919,570097,250,3649,4401,39,1,5,5,0,150,5,9,178,left,9
48,49,575264,579774,579956,250,3800,4250,42,1,4,4,2,152,4,9,182,right,11
49,50,585269,589695,589894,250,3883,4167,17,1,5,5,0,152,5,8,199,left,8
50,51,595274,599601,599816,250,3987,4063,48,1,4,4,10,162,4,13,215,right,16
51,52,605330,609656,609856,250,3980,4070,14,1,5,5,2,164,5,5,200,left,19
52,53,615335,619979,620162,250,3674,4376,36,1,5,5,10,174,5,17,183,left,19
53,54,625341,629633,629872,250,4018,4032,43,1,5,5,0,174,5,9,239,left,14
54,55,635413,640140,640339,250,3577,4473,37,1,4,4,10,184,4,3,199,right,7
55,56,645435,650095,650276,250,3650,4400,16,1,5,5,2,186,5,9,181,left,13
56,57,655424,660101,660327,250,3636,4414,47,1,4,4,10,196,4,12,226,right,18
57,58,665479,669939,670176,250,3847,4203,13,1,4,4,2,198,4,6,237,right,3
58,59,675518,680078,680264,250,3752,4298,12,1,5,5,10,208,5,11,186,left,4
59,60,685507,690167,690349,250,3652,4398,40,1,4,4,2,210,4,11,182,right,5
60,61,695512,700222,700430,250,3595,4455,24,1,5,5,0,210,5,4,208,left,10
61,62,705534,709944,0,250,3902,4148,16,0,4,,10,210,4,11,0,right,9
62,63,715590,720133,720311,250,3773,4277,14,1,5,5,0,210,5,15,178,left,18
63,64,725578,730172,730340,250,3724,4326,13,1,5,5,10,220,5,17,168,left,19
64,65,735550,740277,740423,250,3589,4461,35,1,4,4,10,230,4,15,146,right,3
65,66,745522,749849,750063,250,3984,4066,42,1,4,4,2,232,4,10,214,right,15
