,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4324,5,3696,41,1,,0,12,143758,,0,0,1,5,-999999,18,148368,5,240,148608,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10
1,4241,5,3789,46,1,,0,9,153830,,0,0,1,5,-999999,18,158356,5,218,158574,smallwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,270,2,1,2,2
2,4197,5,3843,27,1,,0,21,163902,,0,0,1,5,-999999,12,168378,5,203,168581,bigwinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,260,3,1,3,10
3,4334,4,3716,18,1,,0,23,173957,,0,0,1,4,-999999,9,178567,4,217,178784,nowinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,4,1,4,0
4,4390,4,3660,38,1,,0,16,184012,,0,0,1,4,-999999,19,188688,4,214,188902,bigwinright.bmp,right,TrialProc,TrialList,32,targetright.bmp,right,250,5,1,5,10
5,4353,5,3697,11,1,,0,12,194083,,0,0,1,5,-999999,6,198710,5,182,198892,nowinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,250,6,1,6,0
6,4315,4,3735,12,1,,0,22,204088,,0,0,1,4,-999999,11,208681,4,206,208887,smallwinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,7,1,7,2
7,4483,4,3567,23,1,,0,21,214126,,0,0,1,4,-999999,10,218887,4,249,219136,nowinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,8,1,8,0
8,4149,5,3901,21,1,,0,11,224215,,0,0,1,5,-999999,10,228641,5,210,228851,bigwinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,9,1,9,10
9,4415,5,3635,36,1,,0,12,234253,,0,0,1,5,-999999,11,238946,5,196,239142,nowinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,10,1,10,0
10,4347,4,3703,11,1,,0,14,244291,,0,0,1,4,-999999,13,248918,4,200,249118,smallwinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,250,11,1,11,2
11,4121,4,3929,37,1,,0,22,254329,,0,0,1,4,-999999,5,258723,4,206,258929,nowinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,250,12,1,12,0
12,4080,5,3970,42,1,,0,13,264384,,0,0,1,5,-999999,12,268744,5,241,268985,bigwinleft.bmp,left,TrialProc,TrialList,56,targetleft.bmp,left,250,13,1,13,10
13,4034,4,4016,26,1,,0,8,274473,,0,0,1,4,-999999,8,278782,4,244,279026,smallwinright.bmp,right,TrialProc,TrialList,58,targetright.bmp,right,250,14,1,14,2
14,4236,5,3814,23,1,,0,24,284561,,0,0,1,5,-999999,7,289071,5,199,289270,nowinleft.bmp,left,TrialProc,TrialList,58,targetleft.bmp,left,250,15,1,15,0
