,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,151700,156394,0,280,3645,4375,35,0,5,,10,0,5,68,0,left,64
1,2,161906,166382,166652,290,3790,4220,34,1,5,5,2,2,5,5,270,left,65
2,3,171961,176304,176551,300,3910,4090,44,1,5,5,10,12,5,2,247,left,16
3,4,182034,186360,186570,290,3953,4057,24,1,4,4,0,12,4,18,210,right,57
4,5,192039,196532,196770,280,3784,4236,10,1,4,4,10,22,4,6,238,right,26
5,6,202061,206371,206574,270,3984,4046,17,1,5,5,0,22,5,13,203,left,23
6,7,212083,216410,216625,260,3970,4070,27,1,4,4,2,24,4,6,215,right,33
7,8,222089,226816,227011,250,3578,4472,28,1,4,4,0,24,4,4,195,right,7
8,9,232094,236671,236845,250,3738,4312,14,1,5,5,10,34,5,14,174,left,5
9,10,242083,246443,246614,250,3950,4100,46,1,5,5,0,34,5,9,171,left,19
10,11,252088,256548,256578,250,3844,4206,42,1,4,4,2,36,4,3,30,right,4
11,12,261944,266404,266619,250,3843,4207,33,1,4,4,0,36,4,2,215,right,9
12,13,271982,276526,276603,250,3773,4277,40,1,5,5,10,46,5,16,77,left,17
13,14,281888,286414,0,250,3789,4261,49,0,4,,2,46,4,14,0,right,10
14,15,291977,296269,296499,250,4018,4032,11,1,5,5,0,46,5,9,230,left,18
15,16,301999,306325,306502,250,3992,4058,18,1,5,5,2,48,5,17,177,left,6
16,17,311988,316280,316414,250,4018,4032,10,1,4,4,0,48,4,9,134,right,15
17,18,321926,326503,326594,250,3728,4322,37,1,5,5,2,50,5,4,91,left,7
18,19,331848,336258,336308,250,3893,4157,27,1,4,4,10,60,4,2,50,right,13
19,20,341720,346380,346399,250,3643,4407,28,1,5,5,2,62,5,2,19,left,7
20,21,351558,356185,356415,250,3678,4372,10,1,4,4,0,62,4,4,230,right,5
21,22,361580,366074,366298,250,3819,4231,32,1,5,5,2,64,5,12,224,left,6
22,23,371636,376146,376327,250,3806,4244,42,1,4,4,10,74,4,15,181,right,18
23,24,381641,386352,386579,250,3596,4454,47,1,4,4,2,76,4,6,227,right,8
24,25,391697,395956,396173,250,4046,4004,17,1,5,5,10,86,5,4,217,left,3
25,26,401719,406062,406278,250,3975,4075,23,1,4,4,0,86,4,17,216,right,16
26,27,411741,416101,416350,250,3944,4106,41,1,5,5,10,96,5,3,249,left,10
27,28,421814,426491,426721,250,3630,4420,44,1,5,5,2,98,5,6,230,left,9
28,29,431869,436246,0,250,3941,4109,27,0,4,,0,98,4,17,0,right,6
29,30,441925,446635,446639,250,3600,4450,37,1,5,5,0,98,5,9,4,left,7
30,31,451763,456039,456099,250,4040,4010,37,1,4,4,10,108,4,15,60,right,13
31,32,461652,466228,0,250,3739,4311,47,0,5,,2,108,5,14,0,left,13
32,33,471741,476101,476218,250,3943,4107,34,1,4,4,10,118,4,2,117,right,20
33,34,481696,485955,486175,250,4044,4006,40,1,4,4,0,118,4,2,220,right,16
34,35,491752,496395,496606,250,3662,4388,48,1,4,4,2,120,4,4,211,right,11
35,36,501807,506083,506098,250,4038,4012,34,1,5,5,10,130,5,13,15,left,19
36,37,511646,515972,516192,250,3982,4068,43,1,4,4,0,130,4,7,220,right,17
37,38,521701,526278,526436,250,3740,4310,37,1,4,4,2,132,4,16,158,right,7
38,39,531690,536133,536195,250,3874,4176,22,1,4,4,10,142,4,16,62,right,13
39,40,541562,545871,546062,250,4008,4042,20,1,5,5,0,142,5,16,191,left,12
40,41,551567,556111,556194,250,3773,4277,25,1,5,5,10,152,5,16,83,left,13
41,42,561472,565950,566121,250,3825,4225,46,1,5,5,2,154,5,2,171,left,8
42,43,571478,575921,0,250,3868,4182,20,0,5,,0,154,5,10,0,left,20
43,44,581533,586144,586272,250,3700,4350,43,1,4,4,0,154,4,10,128,right,13
44,45,591489,596099,596281,250,3695,4355,14,1,5,5,2,156,5,4,182,left,7
45,46,601477,606021,606229,250,3774,4276,34,1,4,4,0,156,4,17,208,right,19
46,47,611516,616060,616223,250,3760,4290,44,1,4,4,2,158,4,3,163,right,16
47,48,621505,625982,0,250,3837,4213,30,0,5,,0,158,5,13,0,left,6
48,49,631561,636188,636352,250,3676,4374,23,1,4,4,2,160,4,2,164,right,4
49,50,641533,646059,646277,250,3787,4263,30,1,5,5,0,160,5,12,218,left,11
50,51,651572,656115,656329,250,3763,4287,48,1,4,4,10,170,4,5,214,right,4
51,52,661627,666054,666226,250,3883,4167,10,1,5,5,2,172,5,9,172,left,19
52,53,671599,676059,676105,250,3856,4194,24,1,5,5,10,182,5,15,46,left,7
53,54,681454,686031,0,250,3730,4320,30,0,5,,0,182,5,6,0,left,9
54,55,691510,696053,0,250,3762,4288,39,0,4,,10,182,4,4,0,right,4
55,56,701582,705875,706011,250,4022,4028,11,1,5,5,2,184,5,14,136,left,11
56,57,711521,715830,715834,250,4004,4046,21,1,4,4,10,194,4,12,4,right,6
57,58,721342,725652,725834,250,4002,4048,39,1,4,4,2,196,4,11,182,right,12
58,59,731348,735641,0,250,4021,4029,37,0,5,,10,196,5,13,0,left,11
59,60,741420,746147,0,250,3585,4465,42,0,4,,2,196,4,11,0,right,13
60,61,751492,756153,756166,250,3656,4394,33,1,5,5,0,196,5,16,13,left,8
61,62,761331,765708,765904,250,3926,4124,10,1,4,4,10,206,4,2,196,right,17
62,63,771320,775646,775813,250,3991,4059,48,1,5,5,0,206,5,16,167,left,7
63,64,781325,785969,786178,250,3666,4384,18,1,5,5,10,216,5,9,209,left,19
64,65,791347,795907,796133,250,3745,4305,18,1,4,4,10,226,4,4,226,right,15
65,66,801386,805913,0,250,3780,4270,12,0,4,,2,226,4,6,0,right,15
