,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,124520,129264,129525,280,3589,4431,17,1,5,5,10,10,5,62,261,left,30
1,2,134642,139119,139345,270,3813,4217,46,1,5,5,2,12,5,9,226,left,33
2,3,144681,149092,0,260,3882,4158,46,0,5,,10,12,5,2,0,left,4
3,4,154787,159230,159446,250,3883,4167,19,1,4,4,0,12,4,25,216,right,38
4,5,164842,169486,0,250,3670,4380,21,0,4,,10,12,4,13,0,right,31
5,6,174915,179458,179652,260,3764,4276,25,1,5,5,0,12,5,16,194,left,30
6,7,184953,189363,189546,250,3897,4153,44,1,4,4,2,14,4,6,183,right,41
7,8,194959,199535,199780,250,3731,4319,50,1,4,4,0,14,4,6,245,right,6
8,9,205048,209608,209805,250,3745,4305,49,1,5,5,10,24,5,4,197,left,17
9,10,215086,219580,219811,250,3819,4231,10,1,5,5,0,24,5,12,231,left,17
10,11,225109,229802,230000,250,3622,4428,12,1,4,4,2,26,4,14,198,right,7
11,12,235097,239842,0,250,3558,4492,50,0,4,,0,26,4,2,0,right,4
12,13,245169,249496,249718,250,3982,4068,23,1,5,5,10,36,5,8,222,left,15
13,14,255208,259835,260037,250,3679,4371,40,1,4,4,2,38,4,5,202,right,10
14,15,265247,269523,269745,250,4035,4015,24,1,5,5,0,38,5,10,222,left,10
15,16,275286,279712,279918,250,3877,4173,39,1,5,5,2,40,5,2,206,left,10
16,17,285325,289985,290217,250,3644,4406,33,1,4,4,0,40,4,3,232,right,12
17,18,295380,299974,300167,250,3715,4335,36,1,5,5,2,42,5,8,193,left,17
18,19,305402,309962,310172,250,3747,4303,21,1,4,4,10,52,4,6,210,right,14
19,20,315424,319951,320156,250,3783,4267,25,1,5,5,2,54,5,9,205,left,12
20,21,325463,330107,330328,250,3672,4378,36,1,4,4,0,54,4,15,221,right,25
21,22,335519,340196,340420,250,3634,4416,42,1,5,5,2,56,5,10,224,left,15
22,23,345574,350284,350485,250,3599,4451,12,1,4,4,10,66,4,8,201,right,8
23,24,355579,360089,360298,250,3796,4254,28,1,4,4,2,68,4,5,209,right,4
24,25,365602,369894,370110,250,4018,4032,24,1,5,5,10,78,5,9,216,left,6
25,26,375624,380284,380469,250,3645,4405,50,1,4,4,0,78,4,4,185,right,10
26,27,385662,390023,390247,250,3942,4108,42,1,5,5,10,88,5,2,224,left,16
27,28,395701,400378,400599,250,3639,4411,30,1,5,5,2,90,5,15,221,left,7
28,29,405757,410350,0,250,3716,4334,14,0,4,,0,90,4,8,0,right,20
29,30,415812,420406,420634,250,3715,4335,24,1,5,5,0,90,5,8,228,left,19
30,31,425851,430444,430667,250,3717,4333,21,1,4,4,10,100,4,9,223,right,9
31,32,435890,440550,440752,250,3645,4405,15,1,5,5,2,102,5,4,202,left,13
32,33,445912,450489,450705,250,3733,4317,48,1,4,4,10,112,4,9,216,right,19
33,34,455967,460495,460712,250,3775,4275,34,1,4,4,0,112,4,2,217,right,18
34,35,466006,470366,470573,250,3951,4099,14,1,4,4,2,114,4,10,207,right,15
35,36,476028,480489,480707,250,3842,4208,11,1,5,5,10,124,5,2,218,left,19
36,37,486034,490293,490511,250,4047,4003,23,1,4,4,0,124,4,5,218,right,5
37,38,496072,500599,500814,250,3785,4265,43,1,4,4,2,126,4,11,215,right,10
38,39,506111,510671,510909,250,3751,4299,45,1,4,4,10,136,4,10,238,right,7
39,40,516183,520526,520744,250,3969,4081,43,1,5,5,0,136,5,11,218,left,5
40,41,526239,530682,0,250,3862,4188,34,0,5,,10,136,5,4,0,left,7
41,42,536311,540989,541215,250,3625,4425,18,1,5,5,2,138,5,2,226,left,16
42,43,546333,551044,0,250,3598,4452,35,0,5,,0,138,5,8,0,left,14
43,44,556405,560915,0,250,3796,4254,25,0,4,,0,138,4,5,0,right,15
44,45,566461,570887,0,250,3880,4170,47,0,5,,2,138,5,5,0,left,8
45,46,576550,581077,0,250,3782,4268,35,0,4,,0,138,4,8,0,right,20
46,47,586622,591015,591239,250,3914,4136,20,1,4,4,2,140,4,6,224,right,15
47,48,596661,601221,601430,250,3754,4296,38,1,5,5,0,140,5,13,209,left,14
48,49,606700,611443,0,250,3574,4476,44,0,4,,2,140,4,16,0,right,12
49,50,616772,621182,621397,250,3907,4143,23,1,5,5,0,140,5,16,215,left,6
50,51,626794,631538,631757,250,3560,4490,16,1,4,4,10,150,4,3,219,right,10
51,52,636833,641577,641809,250,3560,4490,38,1,5,5,2,152,5,3,232,left,18
52,53,646888,651331,0,250,3869,4181,37,0,5,,10,152,5,11,0,left,12
53,54,656960,661270,0,250,3993,4057,44,0,5,,0,152,5,2,0,left,13
54,55,667033,671409,671588,250,3931,4119,21,1,4,4,10,162,4,6,179,right,6
55,56,677021,681531,681771,250,3801,4249,36,1,5,5,2,164,5,10,240,left,12
56,57,687094,691603,691779,250,3803,4247,11,1,4,4,10,174,4,11,176,right,15
57,58,697066,701726,0,250,3644,4406,31,0,4,,2,174,4,3,0,right,6
58,59,707138,711731,711973,250,3711,4339,32,1,5,5,10,184,5,3,242,left,19
59,60,717210,721954,722184,250,3560,4490,35,1,4,4,2,186,4,3,230,right,18
60,61,727265,732009,0,250,3564,4486,32,0,5,,0,186,5,7,0,left,15
61,62,737338,741981,742222,250,3674,4376,32,1,4,4,10,196,4,16,241,right,18
62,63,747410,751669,0,250,4044,4006,16,0,5,,0,196,5,2,0,left,18
63,64,757465,761825,762060,250,3952,4098,39,1,5,5,10,206,5,11,235,left,17
64,65,767538,772164,772374,250,3678,4372,44,1,4,4,10,216,4,3,210,right,12
65,66,777576,781903,782137,250,3982,4068,44,1,4,4,2,218,4,8,234,right,6
