,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4401,5,3619,32,1,,0,63,123341,,0,0,1,5,-999999,42,128051,5,233,128284,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,280,1,1,1,10
1,4266,5,3764,39,1,,0,35,133446,,0,0,1,5,-999999,10,137989,5,168,138157,smallwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,270,2,1,2,2
2,4307,5,3733,36,1,,0,11,143451,,0,0,1,5,-999999,19,148044,5,167,148211,bigwinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,260,3,1,3,10
3,4381,4,3669,26,1,,0,64,153522,,0,0,0,4,0,45,158216,,0,0,nowinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,250,4,1,4,0
4,4152,4,3898,41,1,,0,41,163678,,0,0,1,4,-999999,7,168104,4,205,168309,bigwinright.bmp,right,TrialProc,TrialList,32,targetright.bmp,right,250,5,1,5,10
5,4493,5,3557,31,1,,0,43,173766,,0,0,0,5,0,17,178543,,0,0,nowinleft.bmp,left,TrialProc,TrialList,32,targetleft.bmp,left,250,6,1,6,0
6,4211,4,3839,50,1,,0,35,183904,,0,0,1,4,-999999,14,188397,4,210,188607,smallwinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,7,1,7,2
7,4143,4,3907,14,1,,0,16,193976,,0,0,0,4,0,16,198402,,0,0,nowinright.bmp,right,TrialProc,TrialList,34,targetright.bmp,right,250,8,1,8,0
8,4006,5,4034,50,1,,0,19,204081,,0,0,1,5,-999999,20,208374,5,187,208561,bigwinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,260,9,1,9,10
9,4485,5,3565,45,1,,0,17,214136,,0,0,0,5,0,8,218896,,0,0,nowinleft.bmp,left,TrialProc,TrialList,44,targetleft.bmp,left,250,10,1,10,0
10,4181,4,3859,20,1,,0,22,224258,,0,0,1,4,-999999,11,228717,4,191,228908,smallwinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,260,11,1,11,2
11,4372,4,3658,33,1,,0,13,234279,,0,0,0,4,0,20,238939,,0,0,nowinright.bmp,right,TrialProc,TrialList,46,targetright.bmp,right,270,12,1,12,0
12,4411,5,3609,21,1,,0,17,244401,,0,0,1,5,-999999,16,249095,5,185,249280,bigwinleft.bmp,left,TrialProc,TrialList,56,targetleft.bmp,left,280,13,1,13,10
13,4440,4,3570,48,1,,0,12,254406,,0,0,1,4,-999999,20,259133,4,174,259307,smallwinright.bmp,right,TrialProc,TrialList,58,targetright.bmp,right,290,14,1,14,2
14,4131,5,3869,26,1,,0,19,264411,,0,0,0,5,0,11,268820,,0,0,nowinleft.bmp,left,TrialProc,TrialList,58,targetleft.bmp,left,300,15,1,15,0
15,4210,5,3790,11,1,,0,24,274499,,0,0,1,5,-999999,16,278992,5,211,279203,smallwinleft.bmp,left,TrialProc,TrialList,60,targetleft.bmp,left,300,16,1,16,2
16,4041,4,3959,25,1,,0,22,284504,,0,0,0,4,0,18,288830,,0,0,nowinright.bmp,right,TrialProc,TrialList,60,targetright.bmp,right,300,17,1,17,0
17,4431,5,3569,48,1,,0,8,294609,,0,0,1,5,-999999,12,299319,5,181,299500,smallwinleft.bmp,left,TrialProc,TrialList,62,targetleft.bmp,left,300,18,1,18,2
18,4376,4,3624,30,1,,0,19,304597,,0,0,1,4,-999999,17,309257,4,169,309426,bigwinright.bmp,right,TrialProc,TrialList,72,targetright.bmp,right,300,19,1,19,10
19,4304,5,3696,38,1,,0,20,314585,,0,0,1,5,-999999,5,319162,5,159,319321,smallwinleft.bmp,left,TrialProc,TrialList,74,targetleft.bmp,left,300,20,1,20,2
20,4264,4,3736,21,1,,0,12,324540,,0,0,0,4,0,12,329083,,0,0,nowinright.bmp,right,TrialProc,TrialList,74,targetright.bmp,right,300,21,1,21,0
21,4263,5,3737,19,1,,0,12,334628,,0,0,1,5,-999999,13,339172,5,167,339339,smallwinleft.bmp,left,TrialProc,TrialList,76,targetleft.bmp,left,300,22,1,22,2
22,4080,4,3920,43,1,,0,14,344583,,0,0,1,4,-999999,13,348943,4,177,349120,bigwinright.bmp,right,TrialProc,TrialList,86,targetright.bmp,right,300,23,1,23,10
23,4372,4,3628,40,1,,0,23,354571,,0,0,1,4,-999999,20,359231,4,227,359458,smallwinright.bmp,right,TrialProc,TrialList,88,targetright.bmp,right,300,24,1,24,2
24,4201,5,3809,18,1,,0,11,364610,,0,0,1,5,-999999,8,369086,5,185,369271,bigwinleft.bmp,left,TrialProc,TrialList,98,targetleft.bmp,left,290,25,1,25,10
25,4117,4,3903,44,1,,0,16,374598,,0,0,0,4,0,8,378990,,0,0,nowinright.bmp,right,TrialProc,TrialList,98,targetright.bmp,right,280,26,1,26,0
26,4098,5,3912,13,1,,0,23,384703,,0,0,1,5,-999999,11,389079,5,161,389240,bigwinleft.bmp,left,TrialProc,TrialList,108,targetleft.bmp,left,290,27,1,27,10
27,4421,5,3599,43,1,,0,21,394658,,0,0,1,5,-999999,5,399351,5,190,399541,smallwinleft.bmp,left,TrialProc,TrialList,110,targetleft.bmp,left,280,28,1,28,2
28,4102,4,3928,48,1,,0,24,404679,,0,0,0,4,0,7,409055,,0,0,nowinright.bmp,right,TrialProc,TrialList,110,targetright.bmp,right,270,29,1,29,0
29,4035,5,3985,30,1,,0,19,414801,,0,0,0,5,0,7,419110,,0,0,nowinleft.bmp,left,TrialProc,TrialList,110,targetleft.bmp,left,280,30,1,30,0
