,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,71713,76340,76555,280,3684,4336,32,1,5,5,10,10,5,24,215,left,46
1,2,81801,86295,86537,270,3809,4221,39,1,5,5,2,12,5,5,242,left,51
2,3,91873,96467,96660,260,3718,4322,23,1,5,5,10,22,5,5,193,left,11
3,4,101928,106287,106515,250,4001,4049,16,1,4,4,0,22,4,43,228,right,61
4,5,112033,116326,0,250,4040,4010,13,0,4,,10,22,4,16,0,right,34
5,6,122155,126682,126883,250,3795,4255,21,1,5,5,0,22,5,5,201,left,37
6,7,132226,136552,136773,250,4000,4050,20,1,4,4,2,24,4,8,221,right,45
7,8,142281,146975,147191,250,3636,4414,45,1,4,4,0,24,4,12,216,right,13
8,9,152370,156796,157014,250,3909,4141,43,1,5,5,10,34,5,18,218,left,22
9,10,162475,167118,0,250,3694,4356,17,0,5,,0,34,5,20,0,left,24
10,11,172580,176989,177181,250,3928,4122,47,1,4,4,2,36,4,20,192,right,17
11,12,182652,186978,0,250,4000,4050,46,0,4,,0,36,4,9,0,right,20
12,13,192773,197383,197574,250,3720,4330,18,1,5,5,10,46,5,12,191,left,21
13,14,202795,207121,207370,250,4001,4049,49,1,4,4,2,48,4,10,249,right,16
14,15,212917,217660,217858,250,3585,4465,27,1,5,5,0,48,5,11,198,left,18
15,16,222955,227348,227521,250,3929,4121,44,1,5,5,2,50,5,5,173,left,23
16,17,232993,237419,237593,250,3904,4146,15,1,4,4,0,50,4,13,174,right,23
17,18,242998,247458,0,250,3872,4178,31,0,5,,2,50,5,15,0,left,18
18,19,253103,257462,257688,250,3977,4073,37,1,4,4,10,60,4,19,226,right,19
19,20,263191,267651,0,250,3867,4183,29,0,5,,2,60,5,9,0,left,13
20,21,273296,277589,0,250,4030,4020,45,0,4,,0,60,4,5,0,right,21
21,22,283418,288162,0,250,3582,4468,19,0,5,,2,60,5,9,0,left,22
22,23,293507,298200,298381,250,3638,4412,30,1,4,4,10,70,4,14,181,right,15
23,24,303528,307988,308177,250,3865,4185,36,1,4,4,2,72,4,8,189,right,20
24,25,313566,318009,318257,250,3892,4158,17,1,5,5,10,82,5,17,248,left,14
25,26,323655,327981,328154,250,4001,4049,48,1,4,4,0,82,4,10,173,right,17
26,27,333693,338270,338474,250,3754,4296,36,1,5,5,10,92,5,14,204,left,19
27,28,343748,348107,348283,250,3968,4082,10,1,5,5,2,94,5,10,176,left,14
28,29,353753,358112,0,250,3970,4080,48,0,4,,0,94,4,12,0,right,24
29,30,363875,368635,0,250,3568,4482,10,0,5,,0,94,5,11,0,left,19
30,31,373963,378740,378931,250,3559,4491,31,1,4,4,10,104,4,19,191,right,23
31,32,384018,388361,388550,250,3992,4058,35,1,5,5,2,106,5,18,189,left,19
32,33,394073,398833,399054,250,3577,4473,24,1,4,4,10,116,4,20,221,right,15
33,34,404145,408587,408794,250,3880,4170,23,1,4,4,0,116,4,5,207,right,10
34,35,414183,418726,418967,250,3787,4263,23,1,4,4,2,118,4,13,241,right,11
35,36,424254,428614,428816,250,3964,4086,16,1,5,5,10,128,5,6,202,left,10
36,37,434293,438635,438883,250,3989,4061,41,1,4,4,0,128,4,14,248,right,18
37,38,444381,448724,448915,250,3982,4068,17,1,4,4,2,130,4,8,191,right,9
38,39,454403,458912,459083,250,3825,4225,41,1,4,4,10,140,4,17,171,right,17
39,40,464441,469051,0,250,3723,4327,26,0,5,,0,140,5,16,0,left,9
40,41,474563,479122,479317,250,3778,4272,10,1,5,5,10,150,5,20,195,left,24
41,42,484601,489328,489516,250,3603,4447,14,1,5,5,2,152,5,13,188,left,24
42,43,494622,499033,0,250,3912,4138,19,0,5,,0,152,5,5,0,left,19
43,44,504711,509404,509589,250,3633,4417,21,1,4,4,0,152,4,9,185,right,15
44,45,514732,519459,519646,250,3603,4447,17,1,5,5,2,154,5,12,187,left,12
45,46,524754,529347,529548,250,3735,4315,28,1,4,4,0,154,4,11,201,right,17
46,47,534809,539335,539507,250,3808,4242,34,1,4,4,2,156,4,17,172,right,22
47,48,544847,549490,549681,250,3689,4361,24,1,5,5,0,156,5,15,191,left,16
48,49,554869,559646,559848,250,3558,4492,46,1,4,4,2,158,4,18,202,right,9
49,50,564957,569584,0,250,3702,4348,40,0,5,,0,158,5,12,0,left,21
50,51,575062,579739,579969,250,3655,4395,20,1,4,4,10,168,4,15,230,right,10
51,52,585117,589677,0,250,3776,4274,23,0,5,,2,168,5,19,0,left,13
52,53,595222,599782,599983,250,3767,4283,23,1,5,5,10,178,5,10,201,left,10
53,54,605260,609536,609725,250,4049,4001,37,1,5,5,0,178,5,7,189,left,10
54,55,615299,619775,619957,250,3853,4197,24,1,4,4,10,188,4,12,182,right,13
55,56,625320,629663,629857,250,3988,4062,31,1,5,5,2,190,5,14,194,left,9
56,57,635358,640035,640257,250,3652,4398,40,1,4,4,10,200,4,11,222,right,19
57,58,645430,649707,649909,250,4045,4005,24,1,4,4,2,202,4,5,202,right,10
58,59,655468,660162,660365,250,3640,4410,16,1,5,5,10,212,5,16,203,left,9
59,60,665523,669966,670146,250,3891,4159,16,1,4,4,2,214,4,16,180,right,17
60,61,675545,680105,680311,250,3773,4277,33,1,5,5,0,214,5,16,206,left,18
61,62,685616,690093,690274,250,3851,4199,14,1,4,4,10,224,4,10,181,right,17
62,63,695621,699997,0,250,3950,4100,27,0,5,,0,224,5,8,0,left,19
63,64,705710,710153,710381,250,3882,4168,46,1,5,5,10,234,5,8,228,left,23
64,65,715798,720542,720719,250,3589,4461,14,1,4,4,10,244,4,16,177,right,21
65,66,725803,730146,0,250,3989,4061,21,0,4,,2,244,4,15,0,right,19
