,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4356,5,3664,32,1,,0,30,125991,,0,0,0,5,0,103,130701,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10
1,4497,5,3513,39,1,,0,35,136230,,0,0,0,5,-999999,13,140991,4,212,141203,smallwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,290,2,1,2,2
2,4135,5,3865,20,1,,0,11,146236,,0,0,1,5,-999999,7,150629,5,227,150856,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,300,3,1,3,10
3,4160,4,3840,18,1,,0,47,156258,,0,0,0,4,0,32,160701,,0,0,nowinright.bmp,right,TrialProc,TrialList,10,targetright.bmp,right,300,4,1,4,0
4,4289,4,3711,23,1,,0,32,166347,,0,0,0,4,0,3,170890,,0,0,bigwinright.bmp,right,TrialProc,TrialList,10,targetright.bmp,right,300,5,1,5,10
5,4226,5,3774,24,1,,0,27,176419,,0,0,1,5,-999999,17,180913,5,205,181118,nowinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,300,6,1,6,0
6,4048,4,3952,15,1,,0,26,186408,,0,0,0,4,0,11,190718,,0,0,smallwinright.bmp,right,TrialProc,TrialList,10,targetright.bmp,right,300,7,1,7,2
7,4193,4,3807,49,1,,0,19,196464,,0,0,0,4,0,16,200924,,0,0,nowinright.bmp,right,TrialProc,TrialList,10,targetright.bmp,right,300,8,1,8,0
8,4403,5,3597,18,1,,0,18,206553,,0,0,0,5,0,6,211213,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,300,9,1,9,10
9,4270,5,3730,44,1,,0,15,216608,,0,0,0,5,0,6,221135,,0,0,nowinleft.bmp,left,TrialProc,TrialList,10,targetleft.bmp,left,300,10,1,10,0
10,4436,4,3564,16,1,,0,6,226681,,0,0,1,4,-999999,6,231374,4,296,231670,smallwinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,300,11,1,11,2
11,4458,4,3542,39,1,,0,17,236736,,0,0,0,4,0,2,241447,,0,0,nowinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,300,12,1,12,0
12,4304,5,3696,10,1,,0,12,246809,,0,0,0,5,0,5,251369,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,13,1,13,10
13,4396,4,3604,35,1,,0,6,256847,,0,0,1,4,-999999,14,261508,4,193,261701,smallwinright.bmp,right,TrialProc,TrialList,14,targetright.bmp,right,300,14,1,14,2
14,4000,5,4000,27,1,,0,16,266820,,0,0,1,5,-999999,8,271079,5,251,271330,nowinleft.bmp,left,TrialProc,TrialList,14,targetleft.bmp,left,300,15,1,15,0
15,4334,5,3666,23,1,,0,7,276842,,0,0,0,5,-999999,8,281435,4,290,281725,smallwinleft.bmp,left,TrialProc,TrialList,14,targetleft.bmp,left,300,16,1,16,2
16,4417,4,3583,40,1,,0,10,286897,,0,0,0,4,0,9,291574,,0,0,nowinright.bmp,right,TrialProc,TrialList,14,targetright.bmp,right,300,17,1,17,0
17,4458,5,3542,31,1,,0,10,296970,,0,0,1,5,-999999,2,301681,5,291,301972,smallwinleft.bmp,left,TrialProc,TrialList,16,targetleft.bmp,left,300,18,1,18,2
18,4167,4,3833,41,1,,0,19,307042,,0,0,1,4,-999999,8,311468,4,201,311669,bigwinright.bmp,right,TrialProc,TrialList,26,targetright.bmp,right,300,19,1,19,10
19,4107,5,3893,10,1,,0,9,317014,,0,0,1,5,-999999,2,321374,5,247,321621,smallwinleft.bmp,left,TrialProc,TrialList,28,targetleft.bmp,left,300,20,1,20,2
20,4297,4,3703,28,1,,0,7,327003,,0,0,1,4,-999999,12,331563,4,230,331793,nowinright.bmp,right,TrialProc,TrialList,28,targetright.bmp,right,300,21,1,21,0
21,4357,5,3643,33,1,,0,6,336992,,0,0,0,5,0,2,341602,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,28,targetleft.bmp,left,300,22,1,22,2
22,4211,4,3789,35,1,,0,17,347064,,0,0,1,4,-999999,15,351541,4,193,351734,bigwinright.bmp,right,TrialProc,TrialList,38,targetright.bmp,right,300,23,1,23,10
23,4397,4,3603,30,1,,0,15,357036,,0,0,1,4,-999999,12,361696,4,295,361991,smallwinright.bmp,right,TrialProc,TrialList,40,targetright.bmp,right,300,24,1,24,2
24,4102,5,3898,45,1,,0,4,367092,,0,0,0,5,0,6,371451,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,40,targetleft.bmp,left,300,25,1,25,10
25,4171,4,3829,31,1,,0,5,377164,,0,0,0,4,0,4,381590,,0,0,nowinright.bmp,right,TrialProc,TrialList,40,targetright.bmp,right,300,26,1,26,0
26,4328,5,3672,29,1,,0,19,387236,,0,0,0,5,-999999,15,391830,4,191,392021,bigwinleft.bmp,left,TrialProc,TrialList,40,targetleft.bmp,left,300,27,1,27,10
27,4212,5,3788,26,1,,0,5,397192,,0,0,0,5,0,13,401668,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,40,targetleft.bmp,left,300,28,1,28,2
