,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,489759,494152,494350,280,3915,4105,33,1,5,5,10,10,5,37,198,left,46
1,2,499815,504309,504480,270,3789,4241,48,1,5,5,2,12,5,2,171,left,34
2,3,509803,514096,514275,260,4007,4033,49,1,5,5,10,22,5,9,179,left,18
3,4,519809,524537,0,250,3593,4457,14,0,4,,0,22,4,20,0,right,18
4,5,529881,534274,534448,250,3925,4125,43,1,4,4,10,32,4,17,174,right,19
5,6,539920,544480,0,250,3745,4305,16,0,5,,0,32,5,4,0,left,40
6,7,549992,554385,554579,250,3919,4131,18,1,4,4,2,34,4,11,194,right,34
7,8,559997,564390,0,250,3923,4127,22,0,4,,0,34,4,15,0,right,15
8,9,570053,574614,574809,260,3732,4308,49,1,5,5,10,44,5,2,195,left,12
9,10,580075,584652,0,250,3727,4323,40,0,5,,0,44,5,3,0,left,18
10,11,590147,594457,594635,260,3993,4047,45,1,4,4,2,46,4,12,178,right,10
11,12,600152,604646,0,270,3800,4230,20,0,4,,0,46,4,13,0,right,5
12,13,610225,614902,615084,280,3603,4417,13,1,5,5,10,56,5,9,182,left,14
13,14,620163,624807,624995,290,3630,4380,43,1,4,4,2,58,4,13,188,right,3
14,15,630152,634795,0,300,3615,4385,32,0,5,,0,58,5,7,0,left,7
15,16,640224,644884,0,300,3594,4406,19,0,5,,2,58,5,3,0,left,18
16,17,650280,654957,0,300,3584,4416,41,0,4,,0,58,4,10,0,right,15
17,18,660352,664962,665125,300,3656,4344,19,1,5,5,2,60,5,15,163,left,9
18,19,670274,674667,674841,300,3871,4129,29,1,4,4,10,70,4,13,174,right,15
19,20,680212,684605,684775,300,3874,4126,47,1,5,5,2,72,5,16,170,left,4
20,21,690184,694844,0,300,3601,4399,40,0,4,,0,72,4,10,0,right,20
21,22,700256,704783,704966,300,3733,4267,46,1,5,5,2,74,5,9,183,left,10
22,23,710212,714922,715100,300,3556,4444,23,1,4,4,10,84,4,15,178,right,5
23,24,720150,724894,0,300,3524,4476,29,0,4,,2,84,4,17,0,right,10
24,25,730206,734849,735004,300,3624,4376,34,1,5,5,10,94,5,16,155,left,4
25,26,740144,744454,0,300,3947,4053,10,0,4,,0,94,4,6,0,right,16
26,27,750183,754626,754786,300,3817,4183,39,1,5,5,10,104,5,9,160,left,7
27,28,760122,764565,764751,300,3819,4181,45,1,5,5,2,106,5,11,186,left,12
28,29,770093,774370,0,300,3980,4020,29,0,4,,0,106,4,6,0,right,5
29,30,780149,784909,0,300,3505,4495,50,0,5,,0,106,5,14,0,left,4
30,31,790238,794982,795181,300,3513,4487,31,1,4,4,10,116,4,6,199,right,17
31,32,800210,804904,0,300,3573,4427,32,0,5,,2,116,5,16,0,left,19
32,33,810282,814608,814813,300,3938,4062,30,1,4,4,10,126,4,13,205,right,18
33,34,820271,824680,0,300,3844,4156,25,0,4,,0,126,4,2,0,right,20
34,35,830326,834753,834972,300,3841,4159,26,1,4,4,2,128,4,17,219,right,8
35,36,840315,844958,845131,300,3621,4379,48,1,5,5,10,138,5,13,173,left,7
36,37,850287,854997,0,300,3554,4446,10,0,4,,0,138,4,13,0,right,19
37,38,860326,865036,865215,300,3555,4445,44,1,4,4,2,140,4,14,179,right,7
38,39,870281,874858,875044,300,3687,4313,40,1,4,4,10,150,4,13,186,right,6
39,40,880253,884930,0,300,3582,4418,41,0,5,,0,150,5,8,0,left,10
40,41,890325,894969,895153,300,3624,4376,33,1,5,5,10,160,5,17,184,left,9
41,42,900297,904991,905155,300,3571,4429,14,1,5,5,2,162,5,14,164,left,17
42,43,910219,914745,0,300,3737,4263,21,0,5,,0,162,5,12,0,left,20
43,44,920274,924534,0,300,3999,4001,29,0,4,,0,162,4,8,0,right,12
44,45,930330,934840,935001,300,3744,4256,43,1,5,5,2,164,5,3,161,left,5
