,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,171330,175673,0,280,3969,4051,15,0,5,,10,0,5,41,0,left,47
1,2,181452,185879,186057,290,3839,4171,16,1,5,5,2,2,5,5,178,left,35
2,3,191391,195817,195970,300,3836,4164,17,1,5,5,10,12,5,11,153,left,18
3,4,201329,205989,206115,290,3648,4362,29,1,4,4,0,12,4,47,126,right,33
4,5,211284,215861,216028,280,3706,4314,40,1,4,4,10,22,4,12,167,right,21
5,6,221273,225649,225827,270,3907,4123,15,1,5,5,0,22,5,2,178,left,44
6,7,231261,235771,235948,260,3794,4246,18,1,4,4,2,24,4,13,177,right,51
7,8,241250,245693,245703,250,3870,4180,21,1,4,4,0,24,4,12,10,right,15
8,9,251072,255516,255686,250,3859,4191,37,1,5,5,10,34,5,2,170,left,13
9,10,261077,265453,265637,250,3933,4117,41,1,5,5,0,34,5,8,184,left,13
10,11,271099,275659,275849,250,3753,4297,42,1,4,4,2,36,4,12,190,right,9
11,12,281121,285497,285667,250,3935,4115,39,1,4,4,0,36,4,10,170,right,8
12,13,291126,295603,295642,250,3830,4220,29,1,5,5,10,46,5,6,39,left,11
13,14,300981,305407,0,250,3877,4173,42,0,4,,2,46,4,2,0,right,4
14,15,311053,315713,315947,250,3645,4405,24,1,5,5,0,46,5,4,234,left,8
15,16,321092,325819,326024,250,3582,4468,46,1,5,5,2,48,5,8,205,left,10
16,17,331131,335524,335702,250,3924,4126,49,1,4,4,0,48,4,16,178,right,5
17,18,341153,345863,345925,250,3607,4443,13,1,5,5,2,50,5,16,62,left,18
18,19,351008,355400,355554,250,3925,4125,27,1,4,4,10,60,4,16,154,right,4
19,20,360979,365456,0,250,3835,4215,12,0,5,,2,60,5,11,0,left,5
20,21,371018,375595,375747,250,3731,4319,14,1,4,4,0,60,4,7,152,right,5
21,22,380990,385533,385699,250,3772,4278,39,1,5,5,2,62,5,14,166,left,19
22,23,390979,395590,395599,250,3692,4358,12,1,4,4,10,72,4,2,9,right,12
23,24,400783,405527,405684,250,3573,4477,47,1,4,4,2,74,4,16,157,right,4
24,25,410772,415165,415343,250,3914,4136,25,1,5,5,10,84,5,6,178,left,3
25,26,420761,425070,425207,250,3998,4052,45,1,4,4,0,84,4,6,137,right,9
26,27,430732,435309,435360,250,3736,4314,12,1,5,5,10,94,5,12,51,left,5
27,28,440587,445197,445357,250,3694,4356,24,1,5,5,2,96,5,3,160,left,4
28,29,450559,455036,455231,250,3831,4219,24,1,4,4,0,96,4,7,195,right,9
29,30,460565,465008,465187,250,3861,4189,16,1,5,5,0,96,5,3,179,left,10
30,31,470553,475046,475217,250,3824,4226,42,1,4,4,10,106,4,16,171,right,17
