,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4194,5,3826,46,1,,0,47,58704,,0,0,0,5,0,48,63197,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10
1,4255,5,3755,10,1,,0,37,68876,,0,0,1,5,-999999,4,73386,5,47,73433,smallwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,290,2,1,2,2
2,4098,5,3902,36,1,,0,7,78665,,0,0,0,5,0,10,83024,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,300,3,1,3,10
3,4385,4,3615,33,1,,0,31,88754,,0,0,0,4,0,24,93414,,0,0,nowinright.bmp,right,TrialProc,TrialList,2,targetright.bmp,right,300,4,1,4,0
4,4126,4,3874,32,1,,0,34,98859,,0,0,1,4,-999999,16,103252,4,210,103462,bigwinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,300,5,1,5,10
5,4410,5,3590,23,1,,0,35,108865,,0,0,0,5,0,16,113542,,0,0,nowinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,6,1,6,0
6,4172,4,3828,50,1,,0,27,118937,,0,0,0,4,0,3,123363,,0,0,smallwinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,300,7,1,7,2
7,4232,4,3768,19,1,,0,17,129026,,0,0,0,4,0,10,133519,,0,0,nowinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,300,8,1,8,0
8,4133,5,3867,12,1,,0,14,139081,,0,0,0,5,0,9,143474,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,9,1,9,10
9,4455,5,3545,39,1,,0,5,149120,,0,0,0,5,0,4,153830,,0,0,nowinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,10,1,10,0
10,4482,4,3518,14,1,,0,11,159192,,0,0,1,4,-999999,11,163936,4,30,163966,smallwinright.bmp,right,TrialProc,TrialList,14,targetright.bmp,right,300,11,1,11,2
11,4451,4,3549,17,1,,0,19,168980,,0,0,1,4,-999999,9,173691,4,209,173900,nowinright.bmp,right,TrialProc,TrialList,14,targetright.bmp,right,300,12,1,12,0
12,4185,5,3815,44,1,,0,16,178952,,0,0,0,5,0,7,183395,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,14,targetleft.bmp,left,300,13,1,13,10
13,4491,4,3509,11,1,,0,6,189024,,0,0,1,4,-999999,2,193768,4,79,193847,smallwinright.bmp,right,TrialProc,TrialList,16,targetright.bmp,right,300,14,1,14,2
14,4477,5,3523,21,1,,0,6,198846,,0,0,1,5,-999999,16,203590,5,259,203849,nowinleft.bmp,left,TrialProc,TrialList,16,targetleft.bmp,left,300,15,1,15,0
15,4292,5,3708,11,1,,0,12,208868,,0,0,0,5,0,2,213413,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,16,targetleft.bmp,left,300,16,1,16,2
16,4311,4,3689,33,1,,0,5,218907,,0,0,1,4,-999999,15,223484,4,182,223666,nowinright.bmp,right,TrialProc,TrialList,16,targetright.bmp,right,300,17,1,17,0
17,4452,5,3548,26,1,,0,17,228862,,0,0,0,5,0,8,233573,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,16,targetleft.bmp,left,300,18,1,18,2
18,4396,4,3604,20,1,,0,8,238918,,0,0,1,4,-999999,13,243578,4,204,243782,bigwinright.bmp,right,TrialProc,TrialList,26,targetright.bmp,right,300,19,1,19,10
19,4175,5,3825,44,1,,0,14,248890,,0,0,1,5,-999999,17,253333,5,211,253544,smallwinleft.bmp,left,TrialProc,TrialList,28,targetleft.bmp,left,300,20,1,20,2
20,4407,4,3593,11,1,,0,5,258878,,0,0,1,4,-999999,3,263539,4,177,263716,nowinright.bmp,right,TrialProc,TrialList,28,targetright.bmp,right,300,21,1,21,0
21,4224,5,3776,15,1,,0,6,268800,,0,0,0,5,0,2,273277,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,28,targetleft.bmp,left,300,22,1,22,2
22,4279,4,3721,20,1,,0,19,278856,,0,0,0,4,0,13,283399,,0,0,bigwinright.bmp,right,TrialProc,TrialList,28,targetright.bmp,right,300,23,1,23,10
23,4087,4,3913,24,1,,0,13,288911,,0,0,1,4,-999999,5,293254,4,170,293424,smallwinright.bmp,right,TrialProc,TrialList,30,targetright.bmp,right,300,24,1,24,2
24,4081,5,3919,21,1,,0,10,298850,,0,0,0,5,0,11,303193,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,30,targetleft.bmp,left,300,25,1,25,10
25,4482,4,3518,16,1,,0,12,308905,,0,0,0,4,0,11,313649,,0,0,nowinright.bmp,right,TrialProc,TrialList,30,targetright.bmp,right,300,26,1,26,0
26,4414,5,3586,49,1,,0,18,318961,,0,0,1,5,-999999,12,323638,5,226,323864,bigwinleft.bmp,left,TrialProc,TrialList,40,targetleft.bmp,left,300,27,1,27,10
27,4198,5,3802,34,1,,0,18,328983,,0,0,1,5,-999999,11,333443,5,165,333608,smallwinleft.bmp,left,TrialProc,TrialList,42,targetleft.bmp,left,300,28,1,28,2
28,4136,4,3864,45,1,,0,16,338921,,0,0,0,4,0,6,343314,,0,0,nowinright.bmp,right,TrialProc,TrialList,42,targetright.bmp,right,300,29,1,29,0
29,4472,5,3528,14,1,,0,5,348993,,0,0,0,5,0,5,353721,,0,0,nowinleft.bmp,left,TrialProc,TrialList,42,targetleft.bmp,left,300,30,1,30,0
30,4052,4,3948,33,1,,0,19,359049,,0,0,0,4,0,6,363358,,0,0,bigwinright.bmp,right,TrialProc,TrialList,42,targetright.bmp,right,300,31,1,31,10
31,4243,5,3757,23,1,,0,17,369121,,0,0,0,5,0,16,373631,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,42,targetleft.bmp,left,300,32,1,32,2
32,4242,4,3758,15,1,,0,11,379177,,0,0,0,4,0,17,383687,,0,0,bigwinright.bmp,right,TrialProc,TrialList,42,targetright.bmp,right,300,33,1,33,10
33,4117,4,3883,29,1,,0,18,389232,,0,0,1,4,-999999,8,393608,4,170,393778,nowinright.bmp,right,TrialProc,TrialList,42,targetright.bmp,right,300,34,1,34,0
34,4085,4,3915,23,1,,0,5,399171,,0,0,0,4,0,7,403514,,0,0,smallwinright.bmp,right,TrialProc,TrialList,42,targetright.bmp,right,300,35,1,35,2
35,4014,5,3986,30,1,,0,10,409226,,0,0,1,5,-999999,11,413502,5,181,413683,bigwinleft.bmp,left,TrialProc,TrialList,52,targetleft.bmp,left,300,36,1,36,10
36,4328,4,3672,45,1,,0,4,419165,,0,0,1,4,-999999,14,423758,4,60,423818,nowinright.bmp,right,TrialProc,TrialList,52,targetright.bmp,right,300,37,1,37,0
37,4129,4,3871,32,1,,0,5,429003,,0,0,1,4,-999999,13,433396,4,256,433652,smallwinright.bmp,right,TrialProc,TrialList,54,targetright.bmp,right,300,38,1,38,2
38,4056,4,3944,46,1,,0,18,439042,,0,0,0,4,0,2,443351,,0,0,bigwinright.bmp,right,TrialProc,TrialList,54,targetright.bmp,right,300,39,1,39,10
39,4300,5,3700,21,1,,0,4,449114,,0,0,0,5,0,9,453674,,0,0,nowinleft.bmp,left,TrialProc,TrialList,54,targetleft.bmp,left,300,40,1,40,0
40,4400,5,3600,14,1,,0,12,459169,,0,0,1,5,-999999,10,463830,5,163,463993,bigwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,41,1,41,10
41,4497,5,3503,30,1,,0,19,469091,,0,0,0,5,0,13,473852,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,42,1,42,2
42,4015,5,3985,23,1,,0,4,479147,,0,0,0,5,0,10,483423,,0,0,nowinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,43,1,43,0
43,4090,4,3910,42,1,,0,10,489202,,0,0,0,4,0,2,493545,,0,0,nowinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,300,44,1,44,0
44,4363,5,3637,19,1,,0,8,499274,,0,0,0,5,0,13,503901,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,45,1,45,2
45,4417,4,3583,35,1,,0,14,509330,,0,0,0,4,0,9,514007,,0,0,nowinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,300,46,1,46,0
46,4272,4,3728,23,1,,0,15,519402,,0,0,0,4,0,4,523929,,0,0,smallwinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,300,47,1,47,2
47,4218,5,3782,43,1,,0,11,529458,,0,0,1,5,-999999,7,533934,5,198,534132,nowinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,48,1,48,0
48,4099,4,3901,18,1,,0,8,539430,,0,0,0,4,0,9,543789,,0,0,smallwinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,300,49,1,49,2
49,4488,5,3512,22,1,,0,15,549485,,0,0,1,5,-999999,5,554229,5,151,554380,nowinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,50,1,50,0
50,4288,4,3712,49,1,,0,11,559407,,0,0,0,4,0,4,563950,,0,0,bigwinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,300,51,1,51,10
51,4451,5,3549,11,1,,0,18,569496,,0,0,0,5,0,8,574206,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,52,1,52,2
52,4062,5,3938,48,1,,0,6,579535,,0,0,0,5,0,13,583861,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,53,1,53,10
53,4107,5,3893,24,1,,0,18,589623,,0,0,0,5,0,2,593983,,0,0,nowinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,54,1,54,0
54,4148,4,3852,25,1,,0,9,599679,,0,0,0,4,0,11,604089,,0,0,bigwinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,300,55,1,55,10
55,4368,5,3632,42,1,,0,8,609734,,0,0,0,5,0,8,614361,,0,0,smallwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,56,1,56,2
56,4253,4,3747,39,1,,0,8,619807,,0,0,0,4,0,6,624317,,0,0,bigwinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,300,57,1,57,10
57,4148,4,3852,49,1,,0,11,629879,,0,0,0,4,0,11,634289,,0,0,smallwinright.bmp,right,TrialProc,TrialList,64,targetright.bmp,right,300,58,1,58,2
58,4062,5,3938,33,1,,0,18,639968,,0,0,0,5,0,13,644294,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,64,targetleft.bmp,left,300,59,1,59,10
59,4198,4,3802,18,1,,0,17,650040,,0,0,1,4,-999999,11,654500,4,139,654639,smallwinright.bmp,right,TrialProc,TrialList,66,targetright.bmp,right,300,60,1,60,2
60,4233,5,3767,16,1,,0,15,659945,,0,0,1,5,-999999,9,664438,5,124,664562,nowinleft.bmp,left,TrialProc,TrialList,66,targetleft.bmp,left,300,61,1,61,0
61,4462,4,3538,44,1,,0,17,669833,,0,0,0,4,0,15,674561,,0,0,bigwinright.bmp,right,TrialProc,TrialList,66,targetright.bmp,right,300,62,1,62,10
62,4451,5,3549,42,1,,0,6,679906,,0,0,0,5,0,8,684616,,0,0,nowinleft.bmp,left,TrialProc,TrialList,66,targetleft.bmp,left,300,63,1,63,0
63,4240,5,3760,34,1,,0,8,689978,,0,0,0,5,0,2,694471,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,66,targetleft.bmp,left,300,64,1,64,10
64,4451,4,3549,28,1,,0,16,700050,,0,0,0,4,0,8,704760,,0,0,bigwinright.bmp,right,TrialProc,TrialList,66,targetright.bmp,right,300,65,1,65,10
65,4357,4,3643,30,1,,0,6,710106,,0,0,0,4,0,2,714716,,0,0,smallwinright.bmp,right,TrialProc,TrialList,66,targetright.bmp,right,300,66,1,66,2
