,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,135162,139554,139816,280,3939,4081,13,1,5,5,10,10,5,45,262,left,31
1,2,145283,149759,149940,270,3839,4191,22,1,5,5,2,12,5,18,181,left,37
2,3,155271,159714,159894,260,3874,4166,24,1,5,5,10,22,5,10,180,left,11
3,4,165309,169618,0,250,4030,4020,20,0,4,,0,22,4,22,0,right,43
4,5,175431,180041,180232,250,3726,4324,34,1,4,4,10,32,4,19,191,right,30
5,6,185502,189845,0,250,3981,4069,49,0,5,,0,32,5,6,0,left,32
6,7,195641,200368,200541,250,3606,4444,34,1,4,4,2,34,4,16,173,right,35
7,8,205679,210306,0,250,3702,4348,39,0,4,,0,34,4,12,0,right,16
8,9,215784,220511,220683,260,3595,4445,46,1,5,5,10,44,5,15,172,left,11
9,10,225822,230199,0,250,3960,4090,25,0,5,,0,44,5,19,0,left,20
10,11,235927,240370,240553,260,3884,4156,36,1,4,4,2,46,4,19,183,right,8
11,12,245966,250676,0,270,3592,4438,39,0,4,,0,46,4,5,0,right,14
12,13,256071,260497,260673,280,3871,4149,41,1,5,5,10,56,5,10,176,left,11
13,14,266059,270502,270676,290,3852,4158,16,1,4,4,2,58,4,18,174,right,9
14,15,276030,280724,0,300,3581,4419,26,0,5,,0,58,5,7,0,left,17
15,16,286135,290745,290924,300,3675,4325,37,1,5,5,2,60,5,17,179,left,24
16,17,296124,300433,0,300,3976,4024,15,0,4,,0,60,4,18,0,right,14
17,18,306229,310555,310740,300,3948,4052,36,1,5,5,2,62,5,7,185,left,19
18,19,316217,320610,320784,300,3888,4112,21,1,4,4,10,72,4,14,174,right,14
19,20,326171,330866,331028,300,3578,4422,28,1,5,5,2,74,5,5,162,left,12
20,21,336126,340886,0,300,3513,4487,44,0,4,,0,74,4,6,0,right,22
21,22,346231,350657,350851,300,3854,4146,50,1,5,5,2,76,5,12,194,left,23
22,23,356236,360913,361084,300,3597,4403,35,1,4,4,10,86,4,7,171,right,17
23,24,366208,370600,370773,300,3891,4109,29,1,4,4,2,88,4,16,173,right,16
24,25,376196,380789,380966,290,3700,4310,10,1,5,5,10,98,5,16,177,left,21
25,26,386167,390828,0,280,3631,4389,29,0,4,,0,98,4,5,0,right,23
26,27,396255,400849,400921,290,3693,4317,46,1,5,5,10,108,5,9,72,left,21
27,28,406160,410519,0,280,3948,4072,16,0,5,,2,108,5,20,0,left,21
28,29,416248,420541,0,290,3993,4017,49,0,4,,0,108,4,8,0,right,17
29,30,426370,431014,0,300,3639,4361,16,0,5,,0,108,5,16,0,left,18
30,31,436459,440801,440975,300,3934,4066,29,1,4,4,10,118,4,9,174,right,17
31,32,446430,450823,451027,300,3894,4106,38,1,5,5,2,120,5,20,204,left,21
32,33,456452,460811,460997,300,3916,4084,24,1,4,4,10,130,4,8,186,right,13
33,34,466423,471183,0,300,3523,4477,32,0,4,,0,130,4,16,0,right,9
34,35,476545,481155,481330,300,3665,4335,31,1,4,4,2,132,4,8,175,right,18
35,36,486516,491093,491279,300,3707,4293,15,1,5,5,10,142,5,17,186,left,19
36,37,496504,501064,0,300,3721,4279,18,0,4,,0,142,4,13,0,right,18
37,38,506593,511336,511527,300,3529,4471,18,1,4,4,2,144,4,5,191,right,16
38,39,516564,521024,521203,300,3819,4181,13,1,4,4,10,154,4,12,179,right,15
39,40,526519,530811,0,300,3988,4012,23,0,5,,0,154,5,13,0,left,21
