,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,104898,109424,109664,280,3783,4237,14,1,5,5,10,10,5,38,240,left,47
1,2,114986,119329,119563,270,3953,4077,31,1,5,5,2,12,5,15,234,left,36
2,3,125025,129685,129906,260,3644,4396,43,1,5,5,10,22,5,13,221,left,19
3,4,135114,139574,0,250,3862,4188,29,0,4,,0,22,4,21,0,right,40
4,5,145203,149629,0,250,3877,4173,39,0,4,,10,22,4,2,0,right,21
5,6,155309,159635,159852,260,3969,4071,31,1,5,5,0,22,5,4,217,left,45
6,7,165347,169740,169957,250,3920,4130,23,1,4,4,2,24,4,12,217,right,35
7,8,175370,179913,180127,250,3763,4287,24,1,4,4,0,24,4,5,214,right,11
8,9,185392,189751,189979,250,3949,4101,45,1,5,5,10,34,5,7,228,left,10
9,10,195447,200174,0,250,3578,4472,41,0,5,,0,34,5,4,0,left,5
10,11,205519,210063,210273,250,3766,4284,12,1,4,4,2,36,4,9,210,right,9
11,12,215525,219951,0,250,3880,4170,47,0,4,,0,36,4,5,0,right,5
12,13,225614,229990,0,250,3936,4114,18,0,5,,10,36,5,11,0,left,20
13,14,235669,240112,240320,260,3858,4182,28,1,4,4,2,38,4,10,208,right,15
14,15,245674,250134,0,270,3831,4199,16,0,5,,0,38,5,10,0,left,4
15,16,255747,260424,260645,280,3611,4409,43,1,5,5,2,40,5,17,221,left,18
16,17,265785,270279,270483,290,3772,4238,44,1,4,4,0,40,4,5,204,right,7
17,18,275774,280351,280537,300,3684,4316,34,1,5,5,2,42,5,10,186,left,6
18,19,285746,290156,290381,290,3859,4151,23,1,4,4,10,52,4,8,225,right,16
19,20,295751,300462,0,280,3562,4458,30,0,5,,2,52,5,2,0,left,10
20,21,305824,310100,310306,290,3991,4019,19,1,4,4,0,52,4,6,206,right,20
21,22,315796,320272,0,280,3799,4221,21,0,5,,2,52,5,4,0,left,15
22,23,325851,330294,330517,290,3825,4185,41,1,4,4,10,62,4,7,223,right,12
23,24,335857,340500,340735,300,3618,4382,30,1,4,4,2,64,4,10,235,right,9
24,25,345862,350255,350475,290,3884,4126,22,1,5,5,10,74,5,16,220,left,3
25,26,355867,360310,0,280,3840,4180,43,0,4,,0,74,4,12,0,right,11
26,27,365940,370483,370706,290,3722,4288,38,1,5,5,10,84,5,4,223,left,8
27,28,375945,380705,380948,280,3522,4498,16,1,5,5,2,86,5,11,243,left,12
28,29,385967,390327,0,270,3927,4103,32,0,4,,0,86,4,6,0,right,17
29,30,396056,400532,0,280,3803,4217,18,0,5,,0,86,5,8,0,left,18
30,31,406111,410387,410600,290,3997,4013,29,1,4,4,10,96,4,12,213,right,15
31,32,416100,420511,420746,300,3842,4158,49,1,5,5,2,98,5,2,235,left,4
32,33,426139,430632,430843,300,3763,4237,50,1,4,4,10,108,4,5,211,right,18
33,34,436144,440621,440850,290,3787,4223,32,1,4,4,0,108,4,3,229,right,17
34,35,446150,450526,450734,280,3908,4112,20,1,4,4,2,110,4,13,208,right,18
35,36,456138,460882,461077,270,3543,4487,32,1,5,5,10,120,5,6,195,left,13
36,37,466144,470737,0,260,3705,4335,39,0,4,,0,120,4,7,0,right,18
37,38,476216,480893,481091,250,3635,4415,50,1,4,4,2,122,4,11,198,right,11
38,39,486255,490715,490900,250,3856,4194,22,1,4,4,10,132,4,15,185,right,17
39,40,496260,500854,0,250,3716,4334,32,0,5,,0,132,5,9,0,left,11
40,41,506332,511026,511256,250,3624,4426,31,1,5,5,10,142,5,17,230,left,18
41,42,516388,520914,0,250,3779,4271,23,0,5,,2,142,5,4,0,left,19
42,43,526443,531120,0,250,3634,4416,29,0,5,,0,142,5,10,0,left,10
43,44,536499,540892,0,260,3909,4131,42,0,4,,0,142,4,11,0,right,5
44,45,546571,550931,551157,270,3937,4093,35,1,5,5,2,144,5,16,226,left,7
45,46,556610,560969,0,280,3927,4093,44,0,4,,0,144,4,15,0,right,15
46,47,566699,571459,571665,290,3514,4496,47,1,4,4,2,146,4,13,206,right,6
47,48,576721,581047,581323,300,3939,4061,35,1,5,5,0,146,5,14,276,left,20
48,49,586776,591286,591483,300,3745,4255,47,1,4,4,2,148,4,4,197,right,15
49,50,596750,601492,0,300,3526,4474,25,0,5,,0,148,5,3,0,left,5
50,51,606820,611330,611538,300,3755,4245,14,1,4,4,10,158,4,14,208,right,8
51,52,616792,621269,621506,300,3776,4224,10,1,5,5,2,160,5,2,237,left,19
52,53,626781,631174,631402,300,3870,4130,31,1,5,5,10,170,5,12,228,left,7
53,54,636786,641046,0,290,4010,4000,47,0,5,,0,170,5,9,0,left,19
54,55,646875,651253,651469,300,3875,4125,29,1,4,4,10,180,4,2,216,right,3
55,56,656864,661608,661803,300,3512,4488,30,1,5,5,2,182,5,5,195,left,20
56,57,666819,671262,671477,290,3832,4178,32,1,4,4,10,192,4,14,215,right,3
57,58,676825,681468,681664,280,3640,4380,18,1,4,4,2,194,4,12,196,right,18
58,59,686797,691323,691566,270,3766,4264,10,1,5,5,10,204,5,11,243,left,16
59,60,696819,701529,701727,260,3590,4450,47,1,4,4,2,206,4,9,198,right,7
